"Case_IDs","SLC2A1","NTRK2","NDNF","SERPINB2","AP004608.1","NXPH4","TFAP2A","KRT13","AC116407.1","TOX3","TICRR","GRHL3","AP001972.5","GJB6","B4GALNT4","DPPA3P2","KRT16","MAP1LC3C","FAM83D","AC005537.2","RPS29P11","PITX1","E2F7","KCNMB2-AS1","AC027288.1","PDK4","GPR87","CHRNB4","ZIC2","LRRN4","DUSP9","GABRA3"
"TCGA-NK-A5D1-01A",22.6356380991976,16.3694208728358,15.8398739732302,7.19374372875567,8.88837920097466,20.1879778519102,17.9889610996119,9.1336949040676,13.2410293899596,14.7985201597019,18.1710774368311,11.6320748992405,15.6004086487878,12.2553478788272,18.999783290713,11.0082902307751,9.16950633164689,10.3865907140481,19.2580008984343,14.4851961235597,15.3198806746224,16.4734126217796,18.2262798792308,16.6756746082837,9.75216931610374,15.8364430328527,15.2561330166864,12.8463244812655,15.650283692456,12.45639046946,17.3766764273941,16.8667282843117
"TCGA-75-6211-01A",18.5572700118152,11.4742173297541,15.7795365965096,7.4309938309868,15.9339154171317,17.4579063923717,13.6808331891117,10.5095111863172,14.5747361735564,19.6075082098762,15.1326217381015,13.3230941742358,20.422048277555,9.70773006391035,17.3617713795871,15.5432807015137,12.422270362603,11.427151589038,17.5088329042443,7.01431054480921,11.947923265335,18.7152935322241,12.2225651251803,15.3733965343602,14.808017113967,21.0670537113949,11.2774610898458,9.93445803542442,9.72014120352054,18.1838498915339,9.69568793408673,11.5222495021932
"TCGA-86-8668-01A",18.3648852062084,14.7924577668618,21.0219468378039,12.082444251356,9.18484853317538,10.9561972794574,15.1233228011609,12.3656302095173,17.3421773936093,15.5175046879377,13.0729458907988,10.8235801147831,18.5387238975629,13.5295227523071,12.4931347173703,14.6274893435895,13.7227683570774,14.0619315803526,14.5712116505435,9.04465659286543,12.815692110368,15.3802361901233,12.6532247625485,11.5878168238505,13.1278437705068,16.8971636957422,11.1229666730052,9.99797979961273,15.1319956332482,17.0310194362359,10.5732206320179,7.72766338642198
"TCGA-78-7162-01A",17.2494991846745,16.8852266383573,20.7511060676222,10.291314505803,14.7155478185576,11.7627691920932,13.2029632240733,14.624691808878,16.9155339742439,13.5143276972086,13.369334624422,12.1096984818925,20.3804358393514,10.5277325679686,9.53076067192754,15.7313143015836,11.0608558160496,16.4661288367578,14.8589726499137,9.78009662312844,16.2343416767524,11.3207352165797,12.3770326213506,10.1692308802912,15.416412377479,18.7414624041046,10.6032477391157,12.696748144829,8.36753988867446,16.8507314719843,9.35007628446305,7.32845507886624
"TCGA-86-8673-01A",20.0663010273002,14.220237404943,19.5672711982211,9.14876560405366,12.8404471350096,13.2473519642218,16.836486238033,10.5489663343218,17.248495595069,7.85870183302085,15.4454819880007,10.9848232044482,18.2829963765396,9.42888607513598,14.9889822485763,14.7801706549706,15.2377508607433,17.0193856447187,16.0261664926376,9.38344005805908,17.4444996695832,18.3970017021621,12.5845643374309,14.8315274358454,12.4318337927293,15.9770977928088,16.1392642488242,13.5583258267408,16.1138003810365,14.6567302462952,16.8892107737612,8.83427648283946
"TCGA-05-4424-01A",19.1298604987914,14.4609833560977,17.9031125204413,9.1077783675419,12.8720405044424,11.3572051880643,12.9594806107851,14.5669025766903,16.4504367033651,17.7292042062734,15.2585719842919,13.7049239629188,21.4890869459921,12.48797072835,16.4885760010317,14.8455701916888,14.7406562444175,16.8736215948031,17.0221989948498,8.71080478316683,15.5723659326397,10.8812970329041,14.0072169044861,14.0594178148046,11.0082902307751,19.2498060838171,12.7142135669978,11.3344099970554,7.99736767630333,17.5858848639242,10.4023738280083,16.9981940030537
"TCGA-55-8087-01A",17.1156125646363,12.9231686537742,19.8455677072994,10.1727072453868,15.9831745383476,9.8811911102778,15.2920802912707,10.2139295227006,16.1217831004815,18.2844409992933,11.9167530168752,13.2666263126345,19.885896293311,15.8437747259898,17.1347258218228,12.5934680980278,10.878564066006,12.7713506443225,13.5822562122087,11.3182903018148,18.7777219551741,10.7024484137618,12.4825249959053,13.8151063360727,10.1622942927749,16.7952778693786,10.5732206320179,9.41979396336305,10.2447759600984,16.5620583001616,15.2371400710073,8.67879638362331
"TCGA-69-7764-01A",16.8244096639084,14.2747870613471,17.5892104119776,8.89399066654246,16.4857823011219,11.0106716197844,14.2553132294689,13.9356204405104,17.8781505291764,18.1142869044512,14.3171926531331,13.5998540232952,19.4780532638292,11.7737095432311,12.4649207956888,16.9420519531642,10.291314505803,13.4093279799747,17.2563067548348,12.9081927067303,15.8014095699543,11.2885595782193,13.1946842254135,8.15935885555303,15.288411941322,19.7381516090439,10.9188664467806,12.3642630642238,10.6795443902383,15.7236376724759,9.23900257807453,8.00771845705928
"TCGA-73-4658-01A",19.4341534765163,15.7261694193329,18.3641211691497,11.0685264825625,8.53001716787218,15.1406512640755,16.6275600193316,12.1994706722464,16.1936248913812,16.2127910928533,13.655717520144,15.2531578894832,18.3148389140141,9.8811911102778,15.5712586602519,13.5906805047232,13.8599243134842,17.7486343236369,16.609080715867,9.27423481235235,17.1940326412151,16.9684828391416,12.991908408846,9.22933308489936,10.8291080336801,19.8710266079968,17.7295395392518,10.0206624610909,8.91722683515691,19.9189006116805,10.1102435782315,8.2200394400064
"TCGA-44-A47G-01A",18.8702340854742,13.3751351494812,18.3479735799807,9.9420028652218,12.0102060709304,10.966648845894,14.8810099904204,13.7590247115184,15.9447596643769,14.7427147128162,14.343005945619,13.4794478405306,17.8241665490981,15.5808373701072,10.6505644196881,13.4700733824005,16.754242407749,17.2358524739745,14.3702944030767,9.64233989774381,14.7591028704086,16.7183153195098,13.0500506780468,10.8347519770499,12.2847196304661,18.9891004499354,16.9438425485592,10.2037644605128,11.9374065035753,16.1151119753014,5.7647616576902,8.82255298769571
"TCGA-55-7283-01A",17.4028641951807,16.4431852795084,19.3796509110659,9.36960998771079,14.8657191212504,11.5572059927504,17.6333121530935,12.3313378655878,17.0183411746433,18.574400794792,14.4903933659044,14.2140214440993,19.4763129967769,9.72820843418828,16.2854970970461,13.2473519642218,12.8898154661019,15.7939617290536,15.7730316444817,7.21406905148368,17.609911396785,17.3323735045595,13.7801609726786,15.2902388756016,11.5305260109709,18.356591922902,13.3438117425886,11.9410431063794,17.3880114006892,19.5783452178821,16.2586246213123,8.14998416439377
"TCGA-43-7656-01A",20.0706425013338,14.8749423790487,12.2404369330265,9.78009662312844,8.28739981176697,17.6602732676623,18.5018418606762,12.3885788780118,12.2010765995553,9.87385534579725,17.534216111984,12.4578347524713,18.693230789214,14.0495457291277,17.4867976587909,9.92682120296044,17.3418481526231,12.0252973379814,18.7378109663914,12.8545452724327,9.76839917213228,17.4350959031642,16.6028635657004,16.4661288367578,8.97332529507149,17.7005615258755,15.5497146571318,16.099143610378,20.2044038891203,11.7002806228359,16.5706533797482,14.8086761463115
"TCGA-66-2795-01A",21.810276525963,21.914934637099,15.1686674804464,15.3013354099651,8.35244962648132,18.5607305506978,16.8667282843117,20.5132606992099,11.7756570670687,8.95046949561148,15.6813417145963,16.6512704697371,16.7261915673865,19.8096661946921,16.9731034127358,9.30808244647332,22.0247547796685,12.2195878561795,19.0742383402115,14.2747870613471,9.07654355514103,18.3659298210763,15.4754928277675,16.9908760683622,7.08480161735107,15.1496796297505,19.4683303117514,14.006357773815,17.0236277514881,11.1206238621487,16.7321916413029,15.6858332229766
"TCGA-21-1078-01A",23.0604207676999,17.5091773883725,16.0765824526165,11.9630477244583,12.4578347524713,16.0261664926376,17.704891876835,25.623171803572,14.0936188753441,16.9449181081569,14.5920296426851,19.0425185956581,15.5256541218928,20.6823181256322,15.4187228703985,11.4186749861661,15.1903755312869,9.99063253751274,16.1892412952347,14.633309670277,11.6441872358184,18.0870836597271,14.8663768611572,15.4220057243005,9.53076067192754,16.3018176578687,18.4189266431737,13.7598614029767,13.0512116251121,10.6590641837799,14.9934926730319,16.2829984655338
"TCGA-NC-A5HG-01A",22.7285863996176,17.2187360803209,9.8270445291673,18.1592255162969,9.12841010620439,19.3677464615504,19.2651199047464,18.0177876952599,14.3316728864774,11.3551134232442,18.4834378805637,20.7322085052435,15.0568406642128,17.3695556932899,17.1243107505749,12.0565498569527,23.2172702691256,10.4377977334234,18.9369307558897,15.461574395148,12.2876032367115,19.6871887315198,16.7878969845408,16.6926663763299,8.80475188389562,14.365046785515,16.0599647468967,12.0923928110895,16.836486238033,11.412315996729,16.6390417962238,16.3022455846227
"TCGA-LA-A446-01A",23.2802635463475,22.6063514880781,15.832072447519,16.688909113556,7.27238515646929,18.252933776842,19.1629948971018,22.3308335801454,14.6126335736697,11.4656218853699,17.6679628436221,18.0038262525072,16.4455883840021,20.0663010273002,17.6789208840867,12.7448867335376,23.4207710390373,13.3810927440291,19.0566507967972,13.5592715121361,13.4289021264943,18.9075353523498,17.2804264523148,16.6325476365813,8.97889205014426,16.2757937746836,18.8911498219776,14.927665673869,15.7368791852185,14.0553703789318,16.8273480011677,17.8639853437311
"TCGA-21-1071-01A",23.1487143985062,20.1601661468496,14.1090909207014,9.31303027804277,7.58260445918953,18.469748538048,17.4109025953848,20.8706670611431,12.9616898204802,13.1978313686056,16.1529905339631,15.5143065138248,16.2079860976293,18.2511766013501,16.6175519141808,9.47820553600505,23.7775381818959,12.3416559010369,18.2518541682062,12.8943186281272,12.3770326213506,17.8831703346389,16.9262729034499,16.0918963321306,9.41531235832548,14.7910988205053,18.3446848977736,14.1643809471626,15.6146243328111,12.0302651644712,14.7322913917341,16.5436373113598
"TCGA-22-1000-01A",21.7225889466226,16.4697561858223,17.7529377900047,18.540230134512,9.90796941472312,13.1246079781183,17.6785879073788,24.5021647902243,15.1472338074445,12.4181708289328,14.3522271163356,16.0627065051793,17.6538785212146,18.972567227823,12.9605393873827,10.1308088547198,22.985616476817,13.9261886148863,16.4877776340254,11.0812137682298,13.1001790269463,19.5220419442257,14.7951343510519,13.1256886791353,8.56548831408978,17.7058719433451,19.5049485390901,11.3637991354457,15.0568406642128,14.1443242495039,14.5201693869632,9.24415812973052
"TCGA-63-A5ML-01A",22.5517666617477,24.9177362697456,15.1626412073451,8.90577019377938,7.68954679476839,16.1084666755295,16.2454177664546,17.0992986058737,14.0983744536509,7.81206363670835,17.0570070541069,16.9338302863413,16.3817043101953,17.7927023078473,17.4320620320242,10.2003721172866,19.9959181590734,10.2480696347972,19.1194078912072,12.0451069120968,11.7268668331928,17.5572421636558,16.965982374112,15.9761344691063,8.61953092644999,16.2676459472363,18.7024171314668,14.6873511235374,16.1423998431026,12.6229453521898,16.5475892891544,15.7964011792578
"TCGA-85-8048-01A",21.1090818851225,19.4077706337826,17.864663999964,12.3600972380873,10.5790815552327,16.876533951662,17.4102419311644,16.2256957896502,13.6629559811725,11.7922991337678,16.5690754763494,16.9780823758994,18.7370042228175,14.1863443525111,15.7899996156088,9.35514322066838,20.8225384628316,14.0659483055066,16.517194579018,13.435642402221,13.8546737763997,16.2888472248165,15.4946660944922,15.5691596874702,9.70371049485972,17.7118584464167,18.1928903152892,10.7877039193742,16.7838400842128,14.8907198397361,14.4564369585773,15.5642678966739
"TCGA-J2-A4AE-01A",17.1253365897763,14.2755381039023,16.6987149090796,11.1253938856667,17.2746643055932,12.358583442569,16.7246528565495,12.6544919492645,16.032611251145,17.1637818823269,13.822965989435,13.2361517460747,20.2005526650748,9.49586710778752,9.94954780958184,12.2569026667845,14.7978385984265,15.476039662815,13.8736881668613,11.9007724541851,17.4095734869476,16.831364533395,14.4019494491568,9.65452080585416,14.7141341405769,20.2755330770977,13.6172653322231,10.5642629229598,13.7343007422221,15.7954289497762,12.221092898112,7.77686583435855
"TCGA-L9-A7SV-01A",17.1419630405764,13.2636516619986,19.5593530910497,7.46303616931544,13.8133591828246,12.2876032367115,12.9310382194627,9.98317295941961,16.4136642061348,17.8596694664919,16.0703530696489,16.8426874317821,21.7082620901484,13.3129099830986,16.7701594642219,15.6833300154131,9.72014120352054,17.6382860568642,14.7281790704061,15.8029153453143,17.6282772451718,15.0391065147183,14.7447844059346,16.1316340348688,13.1518339730741,17.3611046603329,14.1024414424301,10.1205176598697,9.74817494124452,20.0594165214197,10.1030769417439,16.8913791111122
