"Case_IDs","S1PR5","AC236972.3","KRT13","AP004608.1","NXPH4","TFAP2A","NTRK2","GRHL3","TOX3","TICRR","SERPINB2","AC116407.1","AP001972.5","MUC21","SLC2A1","KRT16","B4GALNT4","GABRA3","MAP1LC3C","E2F7","GJB6","PITX1","RPS29P11","GNGT1","AC027288.1","GPR87","DUSP9","LRRN4","AC005537.2","CHRNB4","ZIC2","BBOX1-AS1"
"TCGA-86-7713-01A",11.9663798622055,11.2774610898458,15.0832037386168,11.9427092910227,14.1107357284256,10.636089533407,13.17067791727,14.1008485952308,18.5474263496459,15.8756696540749,10.1170718951708,16.0909553149325,19.4757540723174,18.6996500856132,20.3724577589243,13.2987788998824,12.9321802673517,7.70197959127827,13.2977804117319,15.0176846092311,12.0016979826819,12.023612580239,13.5877813587364,15.1072687210277,16.5507045068349,12.2225651251803,10.8996927063606,15.1541007979367,13.0196788402088,11.0959427525417,8.84037028080309,15.1269048864388
"TCGA-38-4631-01A",11.9233828226141,10.6677413991992,10.424710863246,9.62493632398444,13.1559583773715,12.9081927067303,13.5407281708581,13.2473519642218,17.7342333921998,15.8781404105112,11.5977295674245,14.1667389235456,18.1606233453002,11.0734309313361,20.7574037022883,10.3898571817084,12.9805160775234,13.2533447336588,13.7898177667881,16.2560348786978,16.7482173937535,11.2285752411639,11.3593780995164,15.2896841073488,7.9668418084065,15.184433832111,16.0959925442908,12.4931347173703,7.84662716498755,13.5877813587364,10.8125157453381,14.2076071042933
"TCGA-49-AARR-01A",14.1635939154544,12.8180328393309,12.8943186281272,14.8455701916888,11.5201611217898,16.6012989892496,17.1305377097012,11.4010522833823,15.9211681661424,12.0203141719584,11.6038048107905,15.7292396326594,19.3617907269949,16.5215354608409,18.4233257673699,11.3815201685148,12.7239182223812,10.7227321501549,14.403399203275,13.7014324975045,10.1030769417439,16.6570320860342,17.0699705546289,8.61953092644999,10.79042833644,13.932186713347,10.3046652116616,15.2228388433777,9.53974500932411,8.81676131517341,7.67697866979103,10.8152875003726
"TCGA-55-8621-01A",14.9633613989551,13.2755275654568,14.196766214271,12.4015765207267,15.0474241502947,15.4538312979033,18.3137856588865,11.8692542719533,14.8602764412435,13.029306229965,10.224118157705,16.4379328464518,20.650803939928,19.6983566316232,18.9435928054657,13.4238174041283,13.7253430147718,9.94954780958184,17.7790595365981,12.6012831465444,12.0939022822201,16.1542928897981,15.9405277056675,8.53001716787218,13.1675088005825,14.343005945619,9.0228788080343,16.8884891011975,9.01735939560233,10.3992233930165,11.7627691920932,10.1622942927749
"TCGA-91-6831-01A",13.8846506581581,9.10240236869265,10.5064815402603,9.16441006476502,18.0194658573472,15.4648989313263,14.0919391881487,13.1729070984323,18.8405746605917,16.9477824032139,9.96477666241875,14.9980219258883,18.7012250549571,15.2937966858756,18.6869819453492,10.6620855508216,17.248495595069,12.5502360392,12.6893159681984,14.3086603907601,10.4909471156807,18.1901837444086,12.3488840389234,12.4386138163595,8.26215328698534,11.4591479038651,14.6595305481581,16.8379505977165,13.7474937976076,12.0034767944907,10.7171474063345,13.6017179475442
"TCGA-64-5781-01A",14.4962201479673,9.66272766879145,17.1169985401483,7.61058137718412,13.6808331891117,18.0099401908836,13.9813203852949,12.7117437619165,10.555148168232,15.3626874983899,12.1253706089303,16.0215089547184,16.9837622611269,15.6879220802724,20.643430100048,20.7773610233769,13.134137791508,12.2271764825,12.3488840389234,14.1547057763412,11.779186591695,18.5029586140178,11.7061344589162,14.6629573743128,9.61218535197321,17.1110955559043,13.9176595031327,10.3481885107938,11.6261038318324,12.6645703981744,11.6403967481029,11.9113680012095
"TCGA-55-8089-01A",11.926970769646,10.8513080776166,12.8580946533792,9.41076142565439,11.3251963629574,17.7653202751011,14.1380923823391,12.6268409089875,11.4591479038651,15.6704980134964,12.9673468758742,14.5920296426851,17.4797029486182,13.4112286339646,21.1802951086487,20.3113105786453,14.8267804458961,7.32845507886624,13.3937162038185,16.2993175438648,17.3127226684668,18.3673984710135,12.3342664750629,7.55393584541642,10.6590641837799,17.7039187682432,8.58596696863684,14.8913577702803,7.90221435813293,10.889046458985,15.8079591553001,9.84702383981525
"TCGA-60-2715-01A",14.9407448856688,11.8641544218966,16.4681355841055,9.04982088080135,15.4499686312938,18.2191871846959,21.4716297548875,16.049144736334,11.9233828226141,15.8286477167417,11.8973695337938,15.5465539881049,20.5964228506688,15.2531578894832,19.866502700046,22.6401557253538,15.0233793032868,13.8718617066314,14.6339979047301,16.351216158499,17.1768219749899,17.3377839569728,15.117194932854,12.3930270088075,10.1658352885137,17.5572421636558,13.6602413675254,15.2299651507909,9.47397444171175,12.6355826794984,7.46303616931544,12.2493656054321
"TCGA-78-8648-01A",13.5170695628901,13.6656553878847,9.58286777573391,10.6001003757086,14.3039396382877,15.1460573535374,13.2817581932924,11.9185023581007,12.6392412339246,14.1483091207135,9.20463942911841,16.4286999117951,19.5084784893776,16.0394432603919,18.3523022185055,14.8682853513101,14.7183906166341,12.7080560459564,16.590881400386,15.2732708339539,10.7396900475563,14.9342099428081,15.8476882970477,7.98665184581459,9.65452080585416,15.001870047795,14.5179052394647,15.6428806513492,8.45108355031297,11.1980155838256,13.4269215309483,11.065965021912
"TCGA-55-7574-01A",12.3900630647646,12.9839214894157,14.5884495192274,12.9525674584645,12.1737919123941,14.4438512733959,14.1340202543357,14.4318775598841,14.2778537730267,13.8803768061033,8.8821989360803,16.615210194303,19.7669558764988,17.9088247706207,18.9966428801156,12.7977714625484,16.2938248722914,14.5934638558189,15.3990138931189,12.3914573739767,14.7645530002517,16.9416941142486,15.1903755312869,11.1426264572429,9.67936685944585,11.4186749861661,10.8812970329041,16.9463421516034,6.60890825645989,9.25929986231441,14.5495963005273,13.2290350384438
"TCGA-55-8505-01A",13.203968380953,8.50891131961694,14.3278320282072,13.9304894072858,13.6126608514346,17.2310873565341,16.6802022186665,13.1600586218562,17.2194180558959,16.0045136939357,14.9959801913146,13.1415135206216,18.5966903172872,12.6930897116672,22.4073090936034,18.9321901617142,14.3102224344137,14.1683310519049,11.847997604204,15.3825267558128,13.9414070065016,18.2604081481471,12.0989210439999,10.5732206320179,8.95046949561148,16.348774388398,9.03942210867299,11.0812137682298,8.02740971165499,12.0302651644712,12.1891096437374,10.1692308802912
