"Case_IDs","S1PR5","AC236972.3","KRT13","TFAP2A","AP001972.5","AP004608.1","NXPH4","NTRK2","TOX3","TICRR","GRHL3","AC116407.1","SERPINB2","KRT16","MUC21","MAP1LC3C","SLC2A1","GJB6","GABRA3","B4GALNT4","DPPA3P2","DUSP9","PITX1","RPS29P11","FGFBP2","E2F7","AC005537.2","GPR87","AC027288.1","GNGT1","PCDHA12","FOXE1"
"TCGA-21-5787-01A",12.9299155992051,8.47304504280534,18.7402402441384,19.4991316455127,17.686937547639,10.4783860877394,14.4026554363141,15.8650297884002,12.547559855373,16.0860129478236,14.787018412346,15.1239354262964,13.249429069396,20.6032333811122,15.0448926198144,12.3502397372846,19.2086310909228,13.8650385243921,14.3490600683989,10.7987442006838,10.4693124847116,13.2936618653794,17.8622967530743,12.5382271924986,10.9795019354653,15.6465278842065,8.09553445742459,14.5726229353424,7.31024341847096,10.6649477767556,8.52304838507355,12.9548652638098
"TCGA-60-2719-01A",18.4819767980595,10.3835150310186,23.521593770933,17.9128880280113,17.3753007369025,7.97659171680291,16.0081753335863,20.4635222834767,16.7530962523667,17.182324718803,15.9244876583148,14.4154055570258,14.9691799794496,19.6087086887707,13.962499780011,12.0085244847205,23.0774087904938,19.4494352539516,16.6148211474018,17.3157621213256,10.2071483305805,15.4820940419445,21.0213073883074,11.1229666730052,13.3038382519813,16.9323878529485,13.972329031738,17.4551564533021,9.13879746639106,15.7070061150252,9.77223980637141,19.8103914505785
"TCGA-37-4141-01A",13.7668993981276,8.67879638362331,12.4469356426501,17.7475965112323,16.7501224935803,7.08480161735107,12.7178884059145,15.1933594061885,10.7227321501549,15.4393033722912,17.1658387380398,12.7166183913845,9.49993639899722,16.5456131240285,16.3191484539869,12.9231686537742,20.5717105075816,11.0984378819229,19.4700591452061,17.2760064062813,9.0973235495546,10.0852342285999,18.1811367869109,12.6620432572623,10.335072188306,15.3779673599583,8.98470588929386,10.9534630027075,9.84275128899542,13.2400710696807,9.88517834534625,14.7114130384115
"TCGA-94-7557-01A",18.4387586234471,8.99561672215288,13.2186703746466,18.5104322774882,16.8459819232995,5.48350979915151,18.5383338872814,14.4183509335022,12.2056271681164,17.1398850867079,14.9846049964057,13.8650385243921,12.1813506042668,20.2870293557212,13.4366449898534,11.6383469938895,22.1205004862244,14.0823907922542,17.0552666278771,17.8546475029683,9.90038723118036,17.8462116764779,18.2209753755721,12.1979630497654,10.0888785890714,16.6132900058917,15.0341304906582,17.8977075970952,8.31173377326024,15.9594318575093,8.28739981176697,10.7482889656289
"TCGA-22-4609-01A",16.7348124900049,12.3110965926328,22.2411664361349,17.061222384428,18.3804524401346,8.50198854220486,17.815441450744,22.2916878262331,12.7301436299669,16.6858601877215,18.571018317208,15.2101500933297,17.4531669353445,23.337653038274,16.8612894756809,14.3255340446819,21.7266092775769,21.3910541503255,15.4941238602754,15.6518297707483,11.3725126648438,14.7571571939015,19.9204107438802,14.9601263221694,13.2060448728997,16.9613362695429,9.24415812973052,18.3360162212015,10.7024484137618,13.7370507468201,11.2861464811233,22.3710971790341
"TCGA-56-A4BX-01A",18.590468157295,8.92326472989757,24.2080932147693,18.540230134512,16.5753010150709,8.18615224541926,16.7096451354225,23.6889988641003,10.7340221564579,16.6075337687708,19.1957492905451,12.2980106971851,17.5245425645321,21.125664395168,13.0261538521657,9.27899514593932,21.4935049946823,22.0631645853543,17.4941362352227,16.2201098500178,10.6908504975373,14.6311116161393,20.8186468319178,11.8410115065757,20.3804358393514,16.5768617171332,14.6832235128979,18.046023315348,10.4848776331156,15.5400741749473,9.29847915009434,22.5489275346603
"TCGA-33-A5GW-01A",19.2316665445173,11.3322085657303,25.4570700465993,18.9326138948732,17.8525996203397,7.53908933663423,16.9237620078754,21.5021972919358,14.0862857747059,16.7385416707237,18.207273496385,15.0973573919998,17.38567792319,24.6187253650185,15.2239760296176,11.1280037863729,23.2689743249152,21.512022071944,17.1447382627385,17.3469552685671,10.4817027138957,15.8138926658942,19.3054318510804,13.4015127664185,21.8636758017496,15.295578035338,14.4138776970478,19.4552769510314,8.28739981176697,15.1096760286961,9.49150139911986,20.6101305338754
"TCGA-63-A5MY-01A",19.1107913167009,8.99561672215288,23.872058262468,19.1446192109492,15.5373598541913,6.78889772557681,17.0668227422101,23.1982346712745,10.2480696347972,17.7081870044447,16.6348284440662,13.5952862311589,16.8456164406624,20.2901762367192,12.4168361988985,11.3968054709375,23.8872761270916,20.7883753782516,17.2597122432053,18.1994927678787,11.1523819995359,15.3321158272406,21.8299701385225,13.0196788402088,13.5248323475966,17.2019325396583,15.7775433741691,17.7539045631183,9.7400349197359,15.897789333843,9.34543866084136,18.4126734400036
"TCGA-43-6143-11A",15.0998275980409,15.4466214583707,15.8084580056261,11.7476364777827,20.7927280545847,9.92682120296044,10.9615627016046,16.6638868996536,15.0991732546619,12.6893159681984,10.6590641837799,17.9475980006598,12.305399555145,15.4577488775412,14.9839877902304,16.5659344460825,16.319566558604,12.3700695764864,8.89399066654246,12.4000890135074,13.3732341102036,10.3448062238387,11.6850748837859,16.1582532573585,15.8698938275075,12.0336009685875,7.81206363670835,12.0939022822201,13.932186713347,8.24537603909997,13.8116830856029,10.859458644702
"TCGA-96-7545-01A",18.8621365211866,13.0969554162245,23.8817152567402,18.5171780156314,19.4375464781902,8.41342430527292,17.2607211295338,23.6514029963888,11.6220970286685,15.8104839787611,17.8061107297566,15.9794252211339,16.6964624308891,20.6436814787463,17.1840327915952,16.0054168527268,23.1275884876867,20.7125703710575,14.7679322533571,16.6421004681265,12.5171841046125,16.184449539615,18.1436334467373,14.0340149534048,13.6154273423837,15.3842580529824,12.5871789861459,19.6564742256453,11.3703677671424,14.0936188753441,10.5187069693424,21.8233902911859
