"Case_IDs","SLC2A1","NTRK2","TOX3","NXPH4","TFAP2A","KRT13","TICRR","AC116407.1","AP001972.5","GRHL3","MUC21","GJB6","KRT16","B4GALNT4","LRRN4","E2F7","AC005537.2","PITX1","DUSP9","GABRA3","AC027288.1","FAM83D","GPR87","RPS29P11","GNGT1","MAP1LC3C","PCDHA12","HOXC13","TNS4","ZIC2","FOXE1","AC008268.1"
"TCGA-64-1676-01A",19.9959181590734,16.0215089547184,13.6374497028599,11.249833033538,15.2030799805677,12.0433902465703,14.0511997727325,17.3367594008583,17.318149113007,13.7749118676484,21.1149470350592,11.8624469063656,16.6020701027001,15.1245320069591,17.5191895483076,13.9202944192397,8.36753988867446,17.4948007546292,15.2709617117185,9.07111621734489,9.87385534579725,16.4713852844303,19.0756330373167,15.8659969939386,12.0336009685875,16.4018204265505,9.41979396336305,9.12841010620439,13.4346890797285,11.2191156804856,11.8990485139518,14.7371197376146
"TCGA-86-A456-01A",17.8465538528166,13.7262571688329,16.9025887009769,12.0151738759495,15.5556092125311,11.7646312665962,13.2310665833022,17.0278589627715,19.4839443265325,14.2484264468091,22.5382862437578,9.51339701411441,11.947923265335,10.0206624610909,19.0608098288459,11.6343553487045,9.19496263712574,15.9761344691063,5.89668959446672,8.10476644020134,11.3229457539675,12.9561422837438,14.8769252020972,18.4623347834674,9.28892184950491,14.1372558501104,10.5340851509914,9.24415812973052,18.6523054479804,14.0895445952415,17.5292144384294,17.1333351339276
"TCGA-05-4402-01A",21.0363071301251,13.7801609726786,16.1080222008688,14.8201464327872,16.664625064446,13.3810927440291,14.0569237724352,15.5331511466927,19.3883892000966,14.4266119595237,18.4980907515175,13.2656500881015,15.9480641797546,11.7495604150657,16.619875982518,14.1267921136506,13.8001884665876,15.6046808554597,12.825120366633,16.2926039546903,13.7642570675478,16.2209473112048,16.8699819844121,15.1369240982181,13.3566326053827,14.6873511235374,13.4900769976816,16.3378984223142,17.7930367197712,12.9163364391707,16.8935551173433,17.5081723680214
"TCGA-44-7659-01A",17.7321855591456,15.5038905757425,16.8801437030174,11.2474285419581,16.0339963731083,11.3457737393582,11.6617913453196,16.8078790631992,19.4620739338942,12.8650711006339,21.2987767566527,15.0681370704981,11.5056031223782,12.9447446805205,19.1678632358367,12.4784679334516,10.291314505803,14.3522271163356,11.0608558160496,7.93557063982778,13.1518339730741,13.8956962115827,13.1128227640104,17.7693965052984,9.30808244647332,14.3270842560141,13.9015522589609,10.9102204075821,14.261490197115,13.1770763881304,14.3778635045724,14.0602085117836
"TCGA-98-8020-01A",21.9553847279236,15.4310219822713,9.90038723118036,14.6091859927384,20.0276187519416,16.6248767426136,16.5369723813812,14.3475791766296,16.0317015903513,17.109358366271,15.5326265566003,20.5310201983009,24.6443869210686,14.3407432864805,14.245198626742,17.2327694869786,12.6657318211602,18.8486643750484,18.1453816153375,16.8558111168276,8.82255298769571,18.1741695647333,19.4409414646479,14.5425276888753,14.2187210656548,13.2400710696807,10.5942254703042,17.0563124908463,20.9601288360049,14.0944324529734,18.9256439112512,12.3228489343243
"TCGA-58-8392-01A",23.1610244119851,23.721924962188,10.7791059587982,18.4722986725051,19.5453797750528,25.1939944655927,17.3229121079704,12.8874865249526,15.7125422755339,18.7144870448163,11.4656218853699,22.2062322514504,23.4223430115714,16.4071256325096,13.2484114922805,17.6372993689838,14.0210742146919,21.2790736128439,15.5750161292257,17.6988899421676,8.93452013559904,18.206573273764,17.7419162481668,13.1729070984323,15.7711016328828,11.065965021912,11.3637991354457,16.6044178880585,19.1084176839144,17.7456243991284,21.7485575944588,12.8743821967503
"TCGA-NK-A7XE-01A",20.8069291881589,20.4480307052788,7.78876146744659,12.2714095730179,18.1084115900961,17.1530563238709,17.9452290700384,15.1963132037903,16.318735931695,15.5272973720255,12.5741790139146,18.3288133686433,24.2388811861796,17.460254638436,11.4972697039532,15.2937966858756,15.3124092493191,18.1689856764114,14.9110337508217,18.2155951114356,8.1136330866944,18.4218964496098,18.5916300280783,15.3089840308555,14.5186761352807,11.7100299624505,10.3610791030866,13.2523126274127,20.8252527127723,16.5021550626596,17.3171330999078,10.0816760591972
"TCGA-85-8287-01A",20.9060129177825,19.3499881718667,14.3786310643551,17.0908921074464,19.3770033977292,17.8388593330127,18.9703259465567,10.5611566945398,17.1875005898529,13.6346666192848,10.3804355984484,15.3146856603007,16.90977411933,18.2372134808166,11.605770459941,16.0712428335511,13.9795907470793,15.6533516516394,13.9747130644805,15.7575419629726,7.15136299405279,17.4971306578971,17.7730068102685,9.59982254864023,16.2577573551501,11.3528336990795,8.37477288943399,16.6336857420052,18.36267471121,14.5855851532244,16.0851110038909,8.77384676000073
"TCGA-56-8626-01A",22.8081708881061,19.3227343675251,10.5611566945398,18.4003052912377,17.8570225114373,20.0361991684836,15.5993541891122,15.3332313943739,19.10604293865,15.0888193208681,13.7201493669526,20.623984323118,21.1567739211563,17.7482881932545,15.5691596874702,16.5338326128698,12.4302986004362,16.7258071498765,17.0451017456952,16.6497293540063,10.5307568716776,16.1334171193457,19.8367473962514,15.7954289497762,13.3546824382481,11.6965801665653,8.59914801536092,18.0987576835357,19.753110713169,17.5141753325437,15.9287456352574,16.6775726531843
"TCGA-44-8117-01A",19.1519181321658,13.6245614615774,16.708901551224,12.5077831068001,18.0177876952599,11.2028098475963,14.4475677156048,15.4941238602754,19.7023802722133,14.3929161981845,18.0970268364426,16.6489767219631,13.7731484137047,15.8252060968297,19.1548030518081,14.1203755296284,9.16441006476502,17.0573560305677,14.4705740969171,9.58286777573391,10.1658352885137,16.2719197187389,16.2127910928533,16.0454629838319,15.6303241181518,13.5462965379622,10.8916150194848,8.52304838507355,11.7157029049615,16.3586889847159,19.8271469597268,13.8280573413203
"TCGA-44-8119-01A",20.8306385527488,14.2420530790056,19.2462986574672,19.7961697563988,14.9217795427969,10.2514202714849,15.2779380605111,13.4956880851099,19.8972756676504,11.0533174123212,9.0973235495546,7.53908933663423,9.95706943296493,18.0771340144339,18.16441769422,14.3808274181521,8.80475188389562,17.1315853495798,8.75544226410363,16.432326614037,15.2768209890778,17.6633057598586,7.03851559590004,14.8402847157288,12.1979630497654,13.6700264652211,10.5307568716776,9.91556671693093,18.1627087119991,9.0554671278756,8.05670116797938,9.65854879924477
