"Case_IDs","SLC2A1","NTRK2","TOX3","NXPH4","TFAP2A","KRT13","AC116407.1","TICRR","GRHL3","SERPINB2","AP001972.5","MUC21","GJB6","MAP1LC3C","DUSP9","E2F7","KRT16","BBOX1-AS1","LRRN4","PITX1","GABRA3","FAM83D","GPR87","AC027288.1","PDK4","RPS29P11","HOXC13","ZIC2","KCNMB2-AS1","FOXE1","SYT14","AC008268.1"
"TCGA-22-5474-01A",21.2634777788664,21.8338687912999,14.8543803772456,17.0545653632182,16.8718016426751,19.6990572580136,12.6281463749739,16.5597101100258,16.7808923268947,15.3774181889515,18.855019358353,12.1660977400696,19.2826564385814,10.7538313758971,16.2539254863061,15.6747657574708,20.9262072298186,14.9980219258883,9.586872097645,18.5097032439768,16.0229158740842,18.8762224884314,18.693642056788,7.70197959127827,16.0349048434321,9.04982088080135,15.0075094972901,16.557718877053,16.3220806350893,20.4696433509586,12.8556902260685,8.38316899885186
"TCGA-J2-8192-01A",19.8089598825646,14.1000639499496,17.1495888877728,14.6629573743128,17.4418052520841,13.7182902931494,15.7979268580057,12.8048231855764,13.8948882721116,10.3960837206957,17.6725983632724,21.7225889466226,13.4258937679678,15.6575186347636,12.1301165934059,13.1770763881304,18.8188988009367,15.1999958764871,15.1897579261924,14.1275980487443,13.4830944485435,15.8713460299841,16.3396238484608,11.779186591695,16.7396493503068,15.4023420212143,11.5714040777971,13.2595348302353,13.8667034100236,15.6946382973896,8.99028979608741,12.1332691247437
"TCGA-69-7760-01A",20.4372313868539,13.8495426517628,18.2395899235432,18.7446558532596,17.4048936523027,13.5143276972086,15.5604703421821,15.3984357246013,15.6423778344709,8.87041483008788,17.1727014296952,18.0654582475656,11.425071517601,15.0188867368834,13.3741692117205,15.6972080835445,13.3868616810779,14.9375183585792,19.9633442354166,17.4844275660282,9.36960998771079,16.5255122012744,17.3816792436287,8.81676131517341,17.5131620200461,15.6642565030301,17.5988994457277,14.0259222239338,7.9558769926645,15.3722882420049,13.2533447336588,18.5063086648432
"TCGA-86-8669-01A",18.2927146011732,13.018623818531,19.0948394980628,15.8915315121298,14.8315274358454,8.95046949561148,13.9488192120338,13.9279211517325,12.4289038421528,9.3363334647244,18.6596926485167,18.2699678936153,11.5470131993706,15.1454639985211,10.1274267480933,13.7395710232403,10.864777983227,11.5592112121426,15.6762869284463,12.6493692569311,8.01760959955979,16.138394590333,8.93452013559904,13.0653025499855,17.7746967481605,14.9502987879022,16.7058941852234,8.71793868465138,15.3808346409867,10.7396900475563,14.5027732250988,13.6717816199871
"TCGA-55-6642-01A",19.9738028301889,12.9447446805205,16.0182829496175,16.6945671596359,16.8964375400006,11.9252084931081,14.4407944641955,14.6524591750327,13.7040656327014,9.23420226961548,19.9204107438802,20.5557565919333,12.8498181671844,12.823982254445,10.6853063016263,13.5850208056284,13.1097294758525,13.3975830771664,13.3927577530266,15.3482477556268,7.41453332864163,18.2476820725612,9.71183294012878,13.8754276281122,17.1145589002435,13.938943767261,15.6616533257319,9.87751843598729,10.696651665451,11.9356190834158,10.5913474177396,11.0934632442392
"TCGA-78-7152-01A",17.9658210367965,14.5619113870953,16.5620583001616,11.6676629476713,15.6465278842065,18.0480459994226,16.4250994046718,14.2217637787814,14.0365228773638,9.80795744452857,20.8075274406925,22.1455302266082,8.59261980152134,13.8965087393259,9.40631103374716,13.0412073542678,14.4962201479673,9.75216931610374,18.218487384075,18.5014575954894,8.37477288943399,15.7318335997724,12.2373862694319,9.80001420385454,17.2634378918116,16.8401345257315,8.92866220370375,12.2684548608863,14.9883915305681,15.0038036619881,9.53076067192754,12.9761790013258
"TCGA-73-4670-01A",21.4653267637738,13.2206892964868,15.3990138931189,16.4525021017924,17.6279481439011,15.4029304022425,15.9980714610925,15.9126512270236,12.0631072663025,12.6682591812946,17.0137447444089,15.3274506386811,14.2568275079299,13.0040918102552,15.7880423611964,14.6368563019638,18.904519381522,12.2642127231126,13.1811634186806,18.918761515685,14.9587946727441,17.5832296929968,11.7976803742737,8.92866220370375,16.8474411861652,11.8068547710177,11.4229014382134,13.8212206509459,16.0418045356332,13.3368122660519,7.9558769926645,10.0924117009361
"TCGA-44-3398-01A",20.865018643158,16.562427101576,15.1078513179918,17.6646230970972,15.1381607619734,14.6475403408132,16.3111557164613,12.9861614730844,16.8895700446395,12.9640231407048,18.4875852093612,19.4839443265325,13.7853615891457,16.4608888038694,12.1994706722464,12.9334343317091,20.9041964640816,11.1229666730052,14.6014415590282,15.7949513309465,8.91143551105978,14.6105628291197,18.403636482784,10.1832212901418,17.8667401622561,16.0500649260839,7.65102092746873,14.806736258657,10.7735473473166,9.570209785644,7.97659171680291,16.6737591165322
"TCGA-64-5774-01A",19.0938555288758,11.9932073420866,18.6569674085761,18.4980907515175,14.7910988205053,9.77223980637141,14.0462200577475,15.4448942078666,12.1994706722464,10.9455104801817,17.2108557332102,14.6071169152938,9.04982088080135,14.7434011045879,11.3002134596173,15.5196824924754,13.1589902419164,15.641863721734,15.9131161331876,19.742268670798,17.4555176775948,18.0384894053836,10.0017672592148,8.17711964362564,18.9118599822343,14.3732499012096,15.8187935388153,8.57912205131924,16.4071256325096,8.90577019377938,9.586872097645,10.7931503696541
"TCGA-78-7146-01A",21.1619605218568,13.3556503436955,9.34543866084136,12.4702835542846,18.5002908439345,12.0972382134584,16.4709805134763,16.6329201066336,12.5450435480686,9.0554671278756,18.1661786707086,21.9375176704103,14.6825281606702,16.8100905002936,16.783466249328,15.5712586602519,17.4008285825848,15.0725044345191,15.1638286483102,18.5052211592465,16.2140823524782,18.5869968354999,17.7131704526391,15.2162227150759,17.4448311792956,13.2361517460747,8.70448837845797,10.6709643576898,16.009072598951,17.4544866615374,12.0151738759495,13.2270293342692
"TCGA-73-7498-01A",15.9183122796204,14.6390059082187,16.5330336851476,11.9391804856272,12.8757048956019,13.0981295704474,17.9601402656564,12.6079346081831,13.212395447547,8.44340430085461,20.7943621797492,17.8738102147834,11.4951117328888,16.3383179853828,9.40631103374716,11.7683190965954,10.8235801147831,9.27423481235235,17.4344167784536,9.8811911102778,8.99028979608741,13.8246612379002,10.6709643576898,15.8891677102234,20.0353796582801,19.0215587148831,16.9606242935197,8.945003195625,9.59116847534482,10.0353516603603,9.86177347771805,16.6279480704574
"TCGA-97-A4M5-01A",19.2250286546278,14.4639102022979,17.3931175804394,11.1132066465118,16.5057127170238,15.7609990814286,15.956555005816,13.4170958246769,13.7244934015135,10.8756652728033,20.897395533135,15.8737688859902,10.3383206221127,17.1229230848815,10.3898571817084,12.4029799942668,13.290686912558,13.2745846078182,16.0219946687,16.1682765390443,12.6355826794984,15.9226028959599,12.9684706626553,12.023612580239,19.3883892000966,15.6987489245741,15.255562965781,7.53908933663423,11.8177306633673,12.2627595571719,10.1692308802912,17.3452378984035
