"Case_IDs","KRT5","AQP4","AP004608.1","GRHL3","TICRR","KRT13","AC116407.1","TFAP2A","NTRK2","AP001972.5","TOX3","NXPH4","SERPINB2","SLC2A1","MUC21","KRT16","DPPA3P2","B4GALNT4","GJB6","E2F7","RPS29P11","PITX1","AC005537.2","MAP1LC3C","DUSP9","GABRA3","AC027288.1","CHRNB4","GNGT1","GPR87","LRRN4","PCDHA12"
"TCGA-38-4631-01A",14.6707723667195,11.2450680758665,9.62493632398444,13.2473519642218,15.8781404105112,10.424710863246,14.1667389235456,12.9081927067303,13.5407281708581,18.1606233453002,17.7342333921998,13.1559583773715,11.5977295674245,20.7574037022883,11.0734309313361,10.3898571817084,10.6620855508216,12.9805160775234,16.7482173937535,16.2560348786978,11.3593780995164,11.2285752411639,7.84662716498755,13.7898177667881,16.0959925442908,13.2533447336588,7.9668418084065,13.5877813587364,15.2896841073488,15.184433832111,12.4931347173703,11.7756570670687
"TCGA-49-AARR-01A",21.7298362723785,20.4944420820634,14.8455701916888,11.4010522833823,12.0203141719584,12.8943186281272,15.7292396326594,16.6012989892496,17.1305377097012,19.3617907269949,15.9211681661424,11.5201611217898,11.6038048107905,18.4233257673699,16.5215354608409,11.3815201685148,12.6443331284867,12.7239182223812,10.1030769417439,13.7014324975045,17.0699705546289,16.6570320860342,9.53974500932411,14.403399203275,10.3046652116616,10.7227321501549,10.79042833644,8.81676131517341,8.61953092644999,13.932186713347,15.2228388433777,10.9162437188652
"TCGA-55-8621-01A",19.4038538668871,21.4544236539035,12.4015765207267,11.8692542719533,13.029306229965,14.196766214271,16.4379328464518,15.4538312979033,18.3137856588865,20.650803939928,14.8602764412435,15.0474241502947,10.224118157705,18.9435928054657,19.6983566316232,13.4238174041283,13.0750799548822,13.7253430147718,12.0939022822201,12.6012831465444,15.9405277056675,16.1542928897981,9.01735939560233,17.7790595365981,9.0228788080343,9.94954780958184,13.1675088005825,10.3992233930165,8.53001716787218,14.343005945619,16.8884891011975,12.9861614730844
"TCGA-91-6831-01A",11.8068547710177,14.6253871608412,9.16441006476502,13.1729070984323,16.9477824032139,10.5064815402603,14.9980219258883,15.4648989313263,14.0919391881487,18.7012250549571,18.8405746605917,18.0194658573472,9.96477666241875,18.6869819453492,15.2937966858756,10.6620855508216,13.7546407230011,17.248495595069,10.4909471156807,14.3086603907601,12.3488840389234,18.1901837444086,13.7474937976076,12.6893159681984,14.6595305481581,12.5502360392,8.26215328698534,12.0034767944907,12.4386138163595,11.4591479038651,16.8379505977165,8.56548831408978
"TCGA-64-5781-01A",13.018623818531,11.7608847606949,7.61058137718412,12.7117437619165,15.3626874983899,17.1169985401483,16.0215089547184,18.0099401908836,13.9813203852949,16.9837622611269,10.555148168232,13.6808331891117,12.1253706089303,20.643430100048,15.6879220802724,20.7773610233769,11.5733626700114,13.134137791508,11.779186591695,14.1547057763412,11.7061344589162,18.5029586140178,11.6261038318324,12.3488840389234,13.9176595031327,12.2271764825,9.61218535197321,12.6645703981744,14.6629573743128,17.1110955559043,10.3481885107938,10.3930999419574
"TCGA-55-8089-01A",15.1314004297106,19.0621580292913,9.41076142565439,12.6268409089875,15.6704980134964,12.8580946533792,14.5920296426851,17.7653202751011,14.1380923823391,17.4797029486182,11.4591479038651,11.3251963629574,12.9673468758742,21.1802951086487,13.4112286339646,20.3113105786453,10.696651665451,14.8267804458961,17.3127226684668,16.2993175438648,12.3342664750629,18.3673984710135,7.90221435813293,13.3937162038185,8.58596696863684,7.32845507886624,10.6590641837799,10.889046458985,7.55393584541642,17.7039187682432,14.8913577702803,11.1206238621487
"TCGA-60-2715-01A",23.3392557811266,20.7430753664281,9.04982088080135,16.049144736334,15.8286477167417,16.4681355841055,15.5465539881049,18.2191871846959,21.4716297548875,20.5964228506688,11.9233828226141,15.4499686312938,11.8973695337938,19.866502700046,15.2531578894832,22.6401557253538,11.7811228009853,15.0233793032868,17.1768219749899,16.351216158499,15.117194932854,17.3377839569728,9.47397444171175,14.6339979047301,13.6602413675254,13.8718617066314,10.1658352885137,12.6355826794984,12.3930270088075,17.5572421636558,15.2299651507909,9.88517834534625
"TCGA-78-8648-01A",13.9986988555124,20.1086941163632,10.6001003757086,11.9185023581007,14.1483091207135,9.58286777573391,16.4286999117951,15.1460573535374,13.2817581932924,19.5084784893776,12.6392412339246,14.3039396382877,9.20463942911841,18.3523022185055,16.0394432603919,14.8682853513101,13.3230941742358,14.7183906166341,10.7396900475563,15.2732708339539,15.8476882970477,14.9342099428081,8.45108355031297,16.590881400386,14.5179052394647,12.7080560459564,9.65452080585416,11.1980155838256,7.98665184581459,15.001870047795,15.6428806513492,12.6000238770327
"TCGA-55-7574-01A",16.930223827942,20.0759179983467,12.9525674584645,14.4318775598841,13.8803768061033,14.5884495192274,16.615210194303,14.4438512733959,14.1340202543357,19.7669558764988,14.2778537730267,12.1737919123941,8.8821989360803,18.9966428801156,17.9088247706207,12.7977714625484,14.1163870064023,16.2938248722914,14.7645530002517,12.3914573739767,15.1903755312869,16.9416941142486,6.60890825645989,15.3990138931189,10.8812970329041,14.5934638558189,9.67936685944585,9.25929986231441,11.1426264572429,11.4186749861661,16.9463421516034,12.6091795452478
"TCGA-55-8505-01A",16.3599336561533,16.104554788691,13.9304894072858,13.1600586218562,16.0045136939357,14.3278320282072,13.1415135206216,17.2310873565341,16.6802022186665,18.5966903172872,17.2194180558959,13.6126608514346,14.9959801913146,22.4073090936034,12.6930897116672,18.9321901617142,10.3281758334655,14.3102224344137,13.9414070065016,15.3825267558128,12.0989210439999,18.2604081481471,8.02740971165499,11.847997604204,9.03942210867299,14.1683310519049,8.95046949561148,12.0302651644712,10.5732206320179,16.348774388398,11.0812137682298,16.0357909082817
