"Case_IDs","S1PR5","AC116407.1","KRT13","TFAP2A","NXPH4","TOX3","NTRK2","TICRR","AP001972.5","GRHL3","MUC21","KRT16","SLC2A1","GABRA3","MAP1LC3C","GJB6","E2F7","CHRNB4","PITX1","RPS29P11","B4GALNT4","GPR87","DUSP9","LRRN4","KCNMB2-AS1","AC027288.1","FOXE1","AC005537.2","ZIC2","SCEL","TNS4","HOXC13"
"TCGA-60-2704-01A",17.1912915152034,14.4304235230392,18.9707878170061,17.3947930208497,18.5205266124112,12.4029799942668,21.0592888772613,15.8810302901088,17.856688377795,15.0062726369842,12.9537025243535,20.4149924114762,21.545457551414,14.374705808961,14.7836605955315,20.8636540542547,16.3060925474619,11.9697814745357,18.0279851581269,12.45639046946,17.097543231158,18.2416751965839,13.4279639494398,14.8966693603003,15.5797635050601,9.49586710778752,21.4147364760166,11.5694671839174,15.1004418353654,15.5006046482835,19.0347760554981,15.588213391045
"TCGA-66-2787-01A",18.533391224385,12.7594580347619,18.5900785895317,16.7653417047396,18.411219162536,10.612366343994,23.1487143985062,17.4987599539086,17.4689967000914,17.6852301357383,8.99561672215288,21.4638034560258,22.3111233762636,16.5354451490041,11.5773764566113,16.2564613093815,16.6344446673605,15.128859195888,18.2706612588734,12.0840775646931,17.338804642616,17.9162641856509,15.4527216194885,9.50459133172095,16.639834973548,9.29847915009434,22.4055321173534,10.8072589289589,15.7495461544709,13.3058888782187,18.9751227301865,15.7615092896676
"TCGA-63-A5MR-01A",17.6343127952282,13.9015522589609,22.7554893510576,18.577473807733,17.6935451200912,9.90796941472312,20.6901004544362,18.2358326417303,14.7079776205083,17.1971546588868,13.5758204852756,23.2916147704386,22.871618921706,14.0741609354358,12.6869229862877,19.7226305001115,18.0004202019193,14.2630487129266,20.1444352395654,11.5632505989482,15.3315571844914,19.3704257162631,16.5845995710972,10.456903462499,16.0344521292961,8.74251688314941,20.6797737294001,13.4631626391744,16.4218158825319,17.6549025389866,20.7095469420837,17.1857741098305
"TCGA-58-8391-01A",19.5321233564333,13.9898367052592,21.0656474180903,18.1070298632776,18.4864496172759,11.9848591739244,23.5715746072954,17.6928833032902,16.3287583852112,17.0961476146266,13.6995840924832,20.6184216166935,23.9598785220138,16.0505165441674,9.51339701411441,21.0280765869092,16.3354247756255,13.212395447547,19.3044503646107,13.3347619485649,16.7381753148088,17.6005577872191,15.5103737110264,14.2522647853736,16.3738702188665,9.73212694878052,21.2215742010729,13.4975549702065,16.686988749265,13.4102471258749,21.5054619065053,15.3060460332003
"TCGA-62-8394-01A",14.4911195754774,15.5744940813313,11.9883134541345,17.5775917641812,12.9425849373297,17.2913360757224,16.7455917283453,15.6889184266175,20.5259780291064,14.1049141023675,21.3679067639059,14.6538614396985,19.8627177726022,16.6371302284424,16.8130511514152,11.9131154107024,15.8222425628706,11.313618170161,17.4257186946135,16.1357035655503,13.8477274838564,16.0640506775936,13.9682420054048,14.4168867242342,15.8271770143756,10.5157732678646,14.3054920282247,6.98914616428704,14.4431153672052,19.2174711210522,16.2226832453735,15.0961051737952
"TCGA-44-A479-01A",11.6158831374799,15.6235143582245,8.3197523975029,15.4125505219876,13.0948425675363,18.3962918899363,11.1693011322019,14.8516541311784,21.0178806354723,11.8354894844469,16.1480826309952,9.12841010620439,16.5120455399356,15.6699655274035,12.3110965926328,9.27423481235235,13.1946842254135,9.65854879924477,17.5178659953284,13.1467449131045,17.9665268794882,9.55726556857816,10.0242406599729,17.5762227344756,14.2678013048422,7.49393082683455,8.50891131961694,11.412315996729,10.3960837206957,14.7863807695811,15.0114089441224,13.9050156066813
"TCGA-50-6591-01A",15.9626970629158,14.5560243429886,9.93048132819767,16.6106160457102,15.7353027927773,15.1109534163871,15.5797635050601,17.0081020362719,18.0123048385818,13.3288782346805,16.8779796776864,9.20463942911841,21.0260292553374,14.3368808341394,14.8099917237641,10.9321722537478,17.1868240476935,11.4420365293987,13.3516834172776,15.2282007728673,18.169328247725,10.7171474063345,14.4639102022979,16.2637527087782,14.4786283355666,8.55192449257743,15.2168142661417,14.2460705236791,13.5351891515943,17.0671707005909,9.37438043249659,9.13879746639106
"TCGA-77-7463-01A",20.3456686703031,15.104191872284,24.3344341998607,18.6695900901056,19.0129446092316,11.6539193115351,22.1244188207517,17.7653202751011,16.912648058386,18.0671612113643,16.2736593714968,24.4811371142733,24.2565160490186,15.479329556418,11.425071517601,20.8188678675023,16.4419720209464,13.1896230244878,20.7555979908206,13.6682738545792,16.2390466392103,17.2749975809913,15.6046808554597,14.626088690769,18.0106324152298,12.1829446043228,21.0820498415571,15.0011830366004,18.5827648145828,15.5540071389573,19.4251517297519,15.8742587752297
"TCGA-43-5668-01A",15.4737909251889,15.5022643172186,14.4807442565308,19.055751245165,16.9905571096011,12.4743907309575,13.7555334540896,15.6549187798457,19.6181290144915,16.4829954017282,13.2947009718777,16.3026608778011,20.4325704350595,15.9301484824018,13.3457227985267,18.4405826342142,14.3899697432508,13.7721959157658,14.7378574868285,12.2714095730179,12.8463244812655,15.5945981722367,10.1030769417439,11.1763037691284,12.8815857158986,9.07654355514103,21.0770030074104,8.97889205014426,15.583452083118,17.5398643554458,12.4482866058226,13.5161626445389
"TCGA-58-A46J-01A",15.9873840947114,14.4660844460994,23.5585726661843,19.1322252469364,12.4971983574354,12.8707972698364,22.7641629286736,18.1831818695724,17.3320309300323,15.5304550963528,14.4123907360715,20.4115073411536,22.3374655101318,15.1103168425482,13.7907208685195,15.3077784468269,16.6443739943146,10.7819840115464,21.0363071301251,13.9405611937399,17.9290459773878,18.8164003050053,15.711540029633,14.6035456330155,16.5561896750897,9.62940807712743,18.3119997787532,14.1099100449414,15.6015120100643,16.2942568756916,18.5137987803869,14.8516541311784
"TCGA-22-1017-01A",12.7903402943181,16.3734816447812,13.1415135206216,18.0551819732694,14.250734730537,17.6845762215851,13.8940808459278,15.3310053842931,19.4609303847289,16.4160956453217,18.5667943397037,12.9761790013258,20.6536661245055,7.75210224626707,13.6986872972465,11.9511890539549,11.2261580871457,13.4966394700496,18.1793895774576,15.2878400908949,16.3998025730158,11.0157295670851,15.1982230404444,17.0828751449055,12.3327807109568,12.1364043878782,17.3310314373762,8.06621282830102,13.014046066608,17.5755408614856,13.7236148333193,17.0731122067185
"TCGA-85-A4CN-01A",18.7357961869531,12.6930897116672,22.1340565764757,17.5805943829683,17.8811602957644,7.5960315635334,23.3260470849503,17.0236277514881,15.9456878185813,17.4169662973209,8.81676131517341,22.2411664361349,22.3847734894152,16.5807458475732,11.0734309313361,21.0529696878079,17.6742620566724,13.552661423321,20.6493756873269,10.0206624610909,16.2526356474584,18.5549819294984,16.2470989409421,10.0924117009361,17.0415839298241,8.33557929220683,20.9416494780286,13.0565307573275,16.7842157052532,16.0137468041971,18.3259490040016,16.5683062280195
"TCGA-66-2778-01A",17.1329896140409,15.1620248207208,25.4099541633949,17.3398137651464,18.0187939030048,12.1208079439205,21.1275729399903,14.9750546967984,15.8973172114783,17.9994156714351,15.9020809951598,23.340856119406,23.1626862372916,18.4006808531354,12.6331202561695,19.9087959700168,14.7469037700473,14.7910988205053,21.0288220878699,12.2404369330265,15.0967263990987,19.7811214805077,16.9392010676966,13.8650385243921,17.5875196620474,10.1483506462276,18.1939306704863,13.3438117425886,16.0716786281987,17.4062405474764,18.678255447735,14.9794704621006
"TCGA-80-5611-01A",12.8627208672242,16.3412647659106,10.7705202002474,18.7949509256627,12.4675899483712,6.93659831733076,16.7134340849072,15.6454718814032,16.5585177789165,13.3288782346805,15.1644227837396,16.1800709700853,20.9197232079354,16.5530419968205,13.3357939389575,10.3835150310186,16.0353464339031,13.3858450891987,17.2159932001216,16.1791774439907,10.6853063016263,10.7566572528194,14.9400904931298,11.8177306633673,10.6533782686995,12.9436555195094,13.7625360249828,15.4715142039345,12.3228489343243,14.0936188753441,17.7091646144547,15.3836798020978
"TCGA-50-5044-01A",12.9368356717112,16.1905194148323,14.0283354588797,15.1004418353654,15.9589437791845,13.7853615891457,13.6816929446436,15.19696499072,18.1394635868109,12.7486269481057,16.6213935436142,17.1100562197384,21.4747957208621,10.038894057825,12.7301436299669,9.46024076506154,17.1692682063185,12.7029515718886,18.0463565796496,14.8120167369327,14.4572038472828,18.5093282232416,6.37187416016394,15.7409256512655,12.4482866058226,10.0924117009361,8.84633700289518,7.84662716498755,14.4175954787039,17.3678871551647,20.7215100537881,8.59914801536092
"TCGA-44-3919-01A",12.4332671224928,15.8987407395841,15.5818847969283,16.0671951824464,16.5970996386911,17.1627371425145,13.6226512728188,13.6915062585766,19.7456271548002,12.1034902236935,20.5310201983009,15.8631070083647,20.0585235682596,10.0565515599326,15.6580745390293,14.0919391881487,14.5179052394647,10.1448404461216,16.9273580188947,16.2808625971195,11.7436197219035,16.3132794101995,11.9747998228924,15.3298312477679,9.11818188566873,10.8567510815494,12.9930127385154,11.6038048107905,15.9447596643769,17.9879083822664,13.8846506581581,9.72014120352054
"TCGA-05-4384-01A",11.872857184776,16.8707047342089,12.6930897116672,15.0145275198191,11.0786867307749,16.3636464470582,16.5943638486141,12.5515704059253,23.3847390257872,15.2449804025131,18.3137856588865,12.4386138163595,18.036482776455,9.28892184950491,15.9850234892133,9.03942210867299,11.8658069688974,13.2176989889424,15.6518297707483,17.8781505291764,14.3529762092203,13.3516834172776,8.44340430085461,15.2761753494787,9.71586823396981,16.8743561076853,14.1156058513708,11.9915613815638,8.65937234348955,20.0776570594648,18.5553595614131,14.4535185339913
"TCGA-78-7633-01A",13.7271609909083,16.0891708239235,16.0164751621663,12.7350081585383,12.4195072342032,12.48797072835,13.2410293899596,13.7387204197314,22.0195368548075,12.7785975888056,16.4054932722021,10.4630117164064,16.4798154972137,8.13212861237112,15.2825555575855,9.91556671693093,12.7374763796854,14.039751413072,12.1316909664929,15.3882837997631,10.5523094435912,8.92866220370375,9.53974500932411,14.2241753872512,10.905080803283,16.042260022924,12.2195878561795,14.5381252697164,9.22933308489936,18.6940382590241,11.7571838355842,10.1519115155779
"TCGA-55-7994-01A",12.3213280789685,15.296788403465,13.9228444799706,16.0685660789261,14.0741609354358,12.5638464120493,14.0226723511056,15.5378692195036,19.1552673717904,13.6539030689399,19.7510951572306,13.1299151306722,20.0093349418342,13.6691352677286,15.128859195888,10.2945262223175,14.9264176536908,10.5277325679686,15.7894793738541,15.2525898107971,9.73618227262924,16.0613880097357,9.3363334647244,18.3424638518966,13.1780738127952,15.2120221469508,10.2713894451737,8.63276841908945,9.03942210867299,18.0269648763666,16.0833652811957,8.74251688314941
