"Case_IDs","KRT5","AQP4","S1PR5","NXPH4","TFAP2A","NTRK2","AP001972.5","KRT13","TICRR","TOX3","AC116407.1","GRHL3","WNT3A","SLC2A1","MUC21","SERPINB2","KRT16","B4GALNT4","GJB6","MAP1LC3C","E2F7","RPS29P11","PITX1","GNGT1","CAPN9","FAM83D","GPR87","FGFBP2","LRRN4","DUSP9","GABRA3","AC027288.1"
"TCGA-22-5474-01A",21.9310004367035,12.3799602193396,18.3090774943972,17.0545653632182,16.8718016426751,21.8338687912999,18.855019358353,19.6990572580136,16.5597101100258,14.8543803772456,12.6281463749739,16.7808923268947,14.7536765565175,21.2634777788664,12.1660977400696,15.3774181889515,20.9262072298186,16.664625064446,19.2826564385814,10.7538313758971,15.6747657574708,9.04982088080135,18.5097032439768,15.054961242092,11.4698477631933,18.8762224884314,18.693642056788,16.5534335042642,9.586872097645,16.2539254863061,16.0229158740842,7.70197959127827
"TCGA-J2-8192-01A",20.3306156997114,17.8580240260752,13.3309677673646,14.6629573743128,17.4418052520841,14.1000639499496,17.6725983632724,13.7182902931494,12.8048231855764,17.1495888877728,15.7979268580057,13.8948882721116,12.7486269481057,19.8089598825646,21.7225889466226,10.3960837206957,18.8188988009367,11.6887455345487,13.4258937679678,15.6575186347636,13.1770763881304,15.4023420212143,14.1275980487443,13.032575911235,14.6084879827522,15.8713460299841,16.3396238484608,9.35514322066838,15.1897579261924,12.1301165934059,13.4830944485435,11.779186591695
"TCGA-69-7760-01A",14.6021212333928,19.4997083542602,13.1118004778201,18.7446558532596,17.4048936523027,13.8495426517628,17.1727014296952,13.5143276972086,15.3984357246013,18.2395899235432,15.5604703421821,15.6423778344709,9.51339701411441,20.4372313868539,18.0654582475656,8.87041483008788,13.3868616810779,16.2416353482942,11.425071517601,15.0188867368834,15.6972080835445,15.6642565030301,17.4844275660282,15.6757963205903,14.5156801720808,16.5255122012744,17.3816792436287,10.2713894451737,19.9633442354166,13.3741692117205,9.36960998771079,8.81676131517341
"TCGA-86-8669-01A",13.3673761356006,16.0026320259745,13.4661333018986,15.8915315121298,14.8315274358454,13.018623818531,18.6596926485167,8.95046949561148,13.9279211517325,19.0948394980628,13.9488192120338,12.4289038421528,9.17462255831495,18.2927146011732,18.2699678936153,9.3363334647244,10.864777983227,13.1957887229576,11.5470131993706,15.1454639985211,13.7395710232403,14.9502987879022,12.6493692569311,14.9966791063782,11.9495180216881,16.138394590333,8.93452013559904,11.9747998228924,15.6762869284463,10.1274267480933,8.01760959955979,13.0653025499855
"TCGA-55-6642-01A",13.4584991709007,15.9159539341782,13.5228833366683,16.6945671596359,16.8964375400006,12.9447446805205,19.9204107438802,11.9252084931081,14.6524591750327,16.0182829496175,14.4407944641955,13.7040656327014,8.27106697188206,19.9738028301889,20.5557565919333,9.23420226961548,13.1097294758525,16.4648795971839,12.8498181671844,12.823982254445,13.5850208056284,13.938943767261,15.3482477556268,10.3992233930165,15.8791200605567,18.2476820725612,9.71183294012878,10.3077467732947,13.3927577530266,10.6853063016263,7.41453332864163,13.8754276281122
"TCGA-78-7152-01A",16.6371302284424,18.9234940418611,12.7239182223812,11.6676629476713,15.6465278842065,14.5619113870953,20.8075274406925,18.0480459994226,14.2217637787814,16.5620583001616,16.4250994046718,14.0365228773638,10.1308088547198,17.9658210367965,22.1455302266082,9.80795744452857,14.4962201479673,16.1138003810365,8.59261980152134,13.8965087393259,13.0412073542678,16.8401345257315,18.5014575954894,12.9548652638098,17.2262733359168,15.7318335997724,12.2373862694319,12.3081359208958,18.218487384075,9.40631103374716,8.37477288943399,9.80001420385454
"TCGA-73-4670-01A",19.7409073234233,16.8353955636829,12.041757344103,16.4525021017924,17.6279481439011,13.2206892964868,17.0137447444089,15.4029304022425,15.9126512270236,15.3990138931189,15.9980714610925,12.0631072663025,11.164311952557,21.4653267637738,15.3274506386811,12.6682591812946,18.904519381522,15.7660146950796,14.2568275079299,13.0040918102552,14.6368563019638,11.8068547710177,18.918761515685,9.57857043456441,14.6797769401441,17.5832296929968,11.7976803742737,9.66709161670085,13.1811634186806,15.7880423611964,14.9587946727441,8.92866220370375
"TCGA-44-3398-01A",15.3419508142346,19.9616991684905,13.8599243134842,17.6646230970972,15.1381607619734,16.562427101576,18.4875852093612,14.6475403408132,12.9861614730844,15.1078513179918,16.3111557164613,16.8895700446395,12.4985314881338,20.865018643158,19.4839443265325,12.9640231407048,20.9041964640816,12.995124020404,13.7853615891457,16.4608888038694,12.9334343317091,16.0500649260839,15.7949513309465,7.4309938309868,13.5444285428847,14.6105628291197,18.403636482784,14.7652014554046,14.6014415590282,12.1994706722464,8.91143551105978,10.1832212901418
"TCGA-64-5774-01A",14.0936188753441,15.8834330954883,13.2947009718777,18.4980907515175,14.7910988205053,11.9932073420866,17.2108557332102,9.77223980637141,15.4448942078666,18.6569674085761,14.0462200577475,12.1994706722464,8.40584146907268,19.0938555288758,14.6071169152938,10.9455104801817,13.1589902419164,18.6629050302954,9.04982088080135,14.7434011045879,15.5196824924754,14.3732499012096,19.742268670798,14.5705028236359,13.684364303716,18.0384894053836,10.0017672592148,9.7559552521009,15.9131161331876,11.3002134596173,17.4555176775948,8.17711964362564
"TCGA-78-7146-01A",13.7793071447227,15.3042603296062,14.3368808341394,12.4702835542846,18.5002908439345,13.3556503436955,18.1661786707086,12.0972382134584,16.6329201066336,9.34543866084136,16.4709805134763,12.5450435480686,7.25380558064958,21.1619605218568,21.9375176704103,9.0554671278756,17.4008285825848,17.1180570156353,14.6825281606702,16.8100905002936,15.5712586602519,13.2361517460747,18.5052211592465,13.8625121317921,13.7941669997786,18.5869968354999,17.7131704526391,10.3448062238387,15.1638286483102,16.783466249328,16.2140823524782,15.2162227150759
