Case_IDs,BSN-AS1,RHBG,RP11-524L6.4,CDKN2B,CTD-2066L21.3,CTA-212A2.3,MAGI1-IT1,PSMD4,RP3-324O17.8,EIF4E3,SORBS2,CTD-2154B17.3,RP11-708J19.3,GBAP1,CADPS,SNORA72,ERVFRD-3,DAB2,AC112219.1,NUP210L,ERC2-IT1,INTS6P1,APOL2,MTX1,TPMTP2,CDKN2B-AS1,GBE1,CTD-2154B17.1,RNU4-78P,INTS3,PRIMPOL,MYLKP1,RNU6-1309P,RP1-251I12.1,SUCLG2-AS1,RP11-169K17.2,IZUMO3,APOL6,RP11-216N14.7,DNAH12
TCGA-44-A47F-10A,0.0074,0.009,0.0057,0.0105,0.0079,0.0104,0.0074,0.0143,0.0056,0.0074,0.0114,0.0112,0.0074,0.009,0.0074,0.0018,0.0105,0.0079,0.0074,0.009,0.0074,0.0079,0.0104,0.009,0.0074,0.0105,0.0074,0.0112,0.0074,0.009,0.0114,0.0074,0.0143,-0.0092,0.0074,0.0074,0.0105,0.0104,0.009,0.0074
TCGA-05-4398-01A,-0.0775,0.5,-0.4907,0.063,0.0732,0.0643,0.081,0.6766,0.0811,0.081,-0.2422,0.2275,-0.0775,0.5,0.081,0.3192,0.063,0.5309,0.081,0.5,0.081,0.5309,0.0643,0.5,-0.0775,0.063,0.0724,0.2275,-0.0775,0.5,-0.2422,0.081,0.6766,0.2325,0.081,-0.0775,0.063,0.0643,0.5,0.081
TCGA-75-6214-10A,0.0197,0.0145,0.0075,0.0175,0.0081,0.0236,0.0143,0.0134,0.0183,0.0203,0.0228,0.0127,0.0197,0.0145,0.0143,0.0191,0.0175,0.0081,0.0203,0.0145,0.0211,0.0081,0.0236,0.0145,0.0151,0.0175,0.0203,0.0127,0.0151,0.0145,0.0228,0.0203,0.0134,0.0127,0.0143,0.0133,0.0202,0.0236,0.0145,0.0211
TCGA-63-A5ML-01A,-0.2751,0.4364,-0.2321,0.1495,0.4636,0.2236,-0.2606,0.444,0.3857,-0.3028,-0.3744,0.4807,-0.2751,0.4364,-0.2606,-0.1276,0.1495,0.4738,-0.3028,0.4364,-0.2751,0.4738,0.2236,0.4364,-0.2751,0.1495,-0.2757,0.4807,-0.2751,0.4364,0.0473,-0.3028,0.444,0.488,-0.2606,-0.2751,0.1237,0.2236,0.4364,-0.2751
TCGA-97-A4LX-10A,0.0044,0.0036,0.0042,0.0047,0.0037,0.0022,-0.0039,0.0163,0.0084,0.0054,0.0156,0.0037,0.0044,0.0036,0.0062,0.0065,0.0047,0.0037,0.0054,0.0036,0.0053,0.0037,0.0022,0.0036,0.0044,0.0047,0.0066,0.0037,0.0044,0.0036,0.0156,0.0054,0.0163,0.0037,-0.0039,0.0125,0.0039,0.0022,0.0036,0.0053
TCGA-50-6673-11A,0.0143,0.012,0.0156,0.0179,0.0101,0.0173,0.0143,0.024,0.0181,0.0143,0.0129,0.0206,0.0143,0.012,0.0143,0.0089,0.0179,0.0133,0.0143,0.012,0.0143,0.0133,0.0173,0.012,0.0143,0.0179,0.0143,0.0206,0.0143,0.012,0.0129,0.0143,0.024,0.0101,0.0143,0.0143,0.0179,0.0173,0.012,0.0143
TCGA-50-5936-01A,-0.3155,0.2705,0.1934,-0.3121,0.1936,-0.2996,-0.3243,0.2897,0.5029,-0.3407,-0.3117,0.2019,-0.3155,0.2705,0.2068,0.131,-0.3121,0.1936,-0.3407,0.2705,-0.3155,0.1936,-0.2996,0.2705,-0.3155,-0.3121,0.1398,0.2019,-0.3155,0.2705,-0.3117,0.1398,0.2897,0.1994,-0.3243,0.1485,-0.3012,-0.2996,0.2705,-0.3155
TCGA-44-5643-01A,-0.2618,-0.2575,-0.2681,-0.2521,0.1877,-0.2519,-0.2618,-0.2356,0.2067,-0.2614,-0.2526,0.1944,-0.2618,0.6635,-0.2618,-0.2624,-0.2521,0.1938,-0.2614,-0.2548,-0.2618,0.1938,-0.2458,-0.2548,-0.2618,-0.2521,-0.2614,0.1944,-0.2618,-0.2548,-0.2526,-0.2614,-0.2356,0.1876,-0.2618,-0.2618,-0.2521,-0.2519,-0.2548,-0.2618
TCGA-43-8118-01A,-0.222,-0.0058,-0.2271,-0.7237,0.16,0.425,-0.222,-0.0042,0.155,-0.222,-0.2673,0.1371,-0.222,-0.0058,-0.222,-0.0109,-0.7237,0.16,-0.222,-0.0058,-0.222,0.16,0.425,-0.0058,-0.222,-0.7237,-0.222,0.1371,-0.222,-0.0092,-0.2673,-0.222,-0.0042,0.1371,-0.222,-0.2444,-0.2067,0.425,-0.0058,-0.222
TCGA-55-8506-10A,0.003,0.0043,0.0035,-0.004,0.0011,-0.0006,0.0019,0.0007,0.0016,0.0019,0.006,0.0011,0.003,0.0043,0.0019,0.0,-0.004,0.0011,0.0019,0.0043,0.0012,0.0011,-0.0006,0.0043,-0.0041,-0.004,0.0019,0.0011,-0.0041,0.0043,0.006,0.0019,0.0007,0.0011,0.0019,-0.0025,-0.0105,-0.0006,0.0043,0.0012
