Case_IDs,RNU7-136P,RP11-795A2.2,CCDC39,LINC00969,ARHGEF26,CPN2,CLDN11,IQCJ-SCHIP1,SERPINI1,AADACL2-AS1,ATP13A4,TP63,SOX2-OT,PTX3,C3orf33,UTS2B,RP11-496B10.3,DNAJB11,AGTR1,FRG2FP,PLD1,DHX36,RSRC1,MCCC1,VEZF1P1,RP11-368I23.2,TPRG1,MED12L,AC024560.3,RP11-513G11.3,NLGN1,TM4SF18,PARL,MUC20,TERC,B3GALNT1,RP11-362A9.3,MCF2L2,RP11-197K6.1,RP11-501O2.5
TCGA-44-7662-01A,0.0513,0.0497,0.0497,0.5506,0.0513,0.0548,0.0497,0.0513,0.0497,0.0513,0.0548,0.0497,0.0497,0.0513,0.0513,0.0497,0.0497,0.0497,0.0513,0.0799,0.0497,0.0513,0.0513,0.0497,0.0497,0.0497,0.0497,0.0513,0.0799,0.0548,0.0497,0.0513,0.0497,0.5506,0.0497,0.0513,0.0513,0.0497,0.0497,0.0513
TCGA-MN-A4N1-01A,0.0597,0.0462,0.0462,0.0437,-0.1157,0.0437,0.0568,0.0597,0.0568,-0.1157,0.0437,0.0559,0.0462,-0.1157,-0.1157,0.0559,0.0462,0.0462,-0.1181,-0.1641,0.0568,-0.1157,0.0597,0.0462,0.0559,0.0568,0.0462,0.0285,0.0437,0.0437,0.0289,-0.1181,0.0462,0.0437,0.0568,0.0597,-0.1157,0.0462,0.0559,-0.1181
TCGA-55-7911-01A,-0.0031,-0.0009,-0.0009,-0.0009,-0.014,-0.0009,-0.0009,-0.0031,-0.0009,-0.0044,-0.0009,-0.0009,-0.0009,-0.0031,-0.0031,-0.0009,-0.0009,-0.0009,-0.0044,-0.0009,-0.0009,-0.014,-0.0031,-0.0009,-0.0009,-0.0009,-0.0009,-0.0044,-0.0009,-0.0009,-0.0009,-0.0044,-0.0009,-0.0009,-0.0009,-0.0031,-0.0044,-0.0009,-0.0009,-0.0044
TCGA-NJ-A4YP-10A,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082
TCGA-77-6844-01A,0.4647,0.4584,0.4584,0.4722,0.4514,0.4722,0.4584,0.4647,0.4657,0.4514,0.4722,0.4584,0.4584,0.4514,0.4514,0.4584,0.4584,0.4584,0.4514,0.2299,0.4584,0.4514,0.4514,0.4584,0.4584,0.4657,0.4584,0.4514,0.4974,0.4722,0.4584,0.4514,0.4584,1.1806,0.4584,0.4647,0.4514,0.4584,0.4584,0.4514
TCGA-78-7535-10A,0.0106,0.0052,0.0025,0.0208,0.0106,0.0208,0.0105,0.0106,0.0105,0.0106,0.0208,-0.5917,0.0025,0.0106,0.0106,0.0013,0.0025,0.0025,0.0106,0.0204,0.0105,0.0106,0.0106,0.0025,0.0208,0.0105,0.0052,0.0106,0.0204,0.0208,0.0105,0.0106,0.0025,-0.3776,0.0105,0.0106,0.0106,0.0025,0.0013,0.0106
TCGA-49-AAR0-11A,0.0005,-2.7041,0.0005,-0.8081,0.0005,-0.0042,0.0005,0.0005,0.0005,0.0005,-0.0042,0.0097,0.0005,0.0005,0.0005,0.0097,0.0005,0.0005,0.0005,0.007,0.0005,0.0005,0.0005,0.0005,0.0097,0.0005,0.0097,0.0005,0.007,-0.0042,0.0005,0.0005,0.0005,-0.8081,0.0005,0.0005,0.0005,0.0005,0.0097,0.0005
TCGA-98-A53C-01A,0.0132,0.0302,0.0302,0.2516,0.0192,0.0302,0.0302,0.0132,0.0302,0.0192,0.0302,0.0302,0.0302,0.0192,0.0192,0.0302,0.0302,0.0302,0.0192,-0.3925,0.0302,0.0192,0.0192,0.0302,0.0302,0.0302,0.0302,0.0192,0.0593,0.0302,0.0302,0.0192,0.0302,0.2516,0.0302,0.0132,0.0192,0.0302,0.0302,0.0192
TCGA-NJ-A4YI-10A,-0.0002,0.0089,0.0089,-0.0051,-0.0002,-0.0051,0.0089,-0.0002,0.0089,-0.0002,-0.0051,-0.0051,0.0089,-0.0002,-0.0002,-0.0051,0.0089,0.0089,0.0085,0.0023,0.0089,-0.0002,-0.0002,0.0089,-0.0051,0.0089,0.0109,-0.0002,0.0023,-0.0051,0.0089,-0.0034,0.0089,-0.0051,0.0089,0.0066,-0.0002,0.0089,-0.0051,0.0085
TCGA-44-2666-01B,-0.025,-0.0044,-0.0044,0.0969,-0.025,-3.4687,0.0055,-0.025,0.0055,0.1403,-0.0839,0.0016,-0.0044,-0.025,-0.025,0.0016,-0.0044,-0.0044,-0.0235,0.0969,0.0281,-0.025,-0.025,-0.0044,-0.0839,0.0055,-2.9953,-0.0235,0.0969,-0.0839,0.0285,-0.0235,-0.0044,0.0969,0.0055,-0.025,-4.9045,-0.0044,0.0016,-0.0235
TCGA-97-8175-01A,-0.0014,-0.0088,-0.0088,-0.1764,-0.0014,0.0064,-0.0014,-0.0014,-0.0009,-0.0014,0.0064,-0.0088,-0.0088,-0.0014,-0.0014,-0.0012,-0.0088,-0.0088,-0.0014,-0.0102,-0.0014,-0.0014,-0.0014,-0.0088,0.0111,-0.0009,-0.0088,-0.0014,-0.0102,0.0064,-0.0014,-0.0014,-0.0088,-0.1764,-0.0014,-0.0014,-0.0014,-0.0088,-0.0012,-0.0014
TCGA-97-7938-01A,-0.0066,-0.017,-0.017,-0.0017,-0.0118,-0.0017,-0.017,-0.0066,-0.017,-0.0118,-0.0017,-0.017,-0.017,-0.0066,0.392,-0.017,-0.017,-0.017,-0.0118,-0.0017,-0.017,-0.0118,-0.0066,-0.017,-0.017,-0.017,-0.017,-0.0118,-0.0017,-0.0017,-0.017,-0.0118,-0.017,-0.0017,-0.017,-0.0066,-0.0118,-0.017,-0.017,-0.0118
TCGA-86-7955-01A,0.0007,0.0237,0.0046,-0.0022,0.0007,-0.0022,-0.0018,0.0007,-0.0018,0.0007,-0.0022,-0.0173,-0.0061,0.0007,0.0007,-0.0173,0.0046,0.0237,0.0014,0.0137,-0.0018,0.0007,0.0007,-0.0061,-0.0173,-0.0018,0.0237,0.0131,0.0137,-0.0022,0.0007,0.0014,-0.0061,0.4767,-0.0018,0.0248,0.0007,-0.0061,-0.0173,0.0014
TCGA-85-8070-01A,0.6847,1.0187,1.0187,1.0001,0.6638,1.0213,1.009,1.0032,1.0537,0.6873,1.0213,1.0187,1.0187,1.0032,1.0032,1.0187,1.0187,1.0187,0.6873,0.7362,1.009,1.0032,1.0032,1.0187,1.0187,1.0537,1.0187,0.6873,1.0291,1.0213,1.1032,0.6873,1.0187,1.6931,1.009,0.6847,0.6873,1.0187,1.0187,0.6873
TCGA-55-A48Z-10A,0.0014,0.0009,0.0009,-0.4756,0.0014,0.0009,0.0009,0.0014,0.0009,0.0014,0.0009,0.0009,0.0009,0.0014,0.0014,0.0009,0.0009,0.0009,0.0014,-0.0351,0.0009,0.0014,0.0014,0.0009,0.0009,0.0009,0.0009,0.0014,-0.0351,0.0009,0.0009,0.0014,0.0009,-0.4756,0.0009,0.0014,0.0014,0.0009,0.0009,0.0014
TCGA-56-7580-10A,0.005,0.0091,0.0091,-0.7654,0.005,-0.0064,0.0091,0.005,0.0091,0.005,-0.0064,0.0091,0.0091,0.005,0.005,0.0055,0.0091,0.0091,0.005,0.0261,0.0091,0.005,0.005,0.0091,0.0055,0.0091,0.0091,0.005,0.0261,-0.0064,0.0091,0.005,0.0091,-0.0433,0.0091,0.005,0.005,0.0091,0.0055,0.005
TCGA-66-2763-11A,0.0024,-0.0012,-0.0012,0.0281,0.0024,-0.0012,-0.0012,0.0024,-0.0012,0.0024,-0.0012,-0.0012,-0.0012,0.0024,0.0024,-0.0012,-0.0012,-0.0012,0.0024,0.0281,-0.0012,0.0024,0.0024,-0.0012,-0.0012,-0.0012,-0.0012,0.0024,0.0281,-0.0012,-0.0012,0.0024,-0.0012,0.0281,-0.0012,0.0024,0.0024,-0.0012,-0.0012,0.0024
TCGA-39-5028-11A,0.0013,0.011,0.011,0.0092,0.0058,0.0092,0.011,0.0013,0.011,0.0058,0.0092,0.011,0.011,0.0013,0.0013,0.011,0.011,0.011,0.0058,0.0092,0.011,0.0058,0.0013,0.011,0.011,0.011,0.011,0.0058,0.0092,0.0092,0.011,0.0058,0.011,0.0092,0.011,0.0013,0.0058,0.011,0.011,0.0058
TCGA-55-8299-10B,0.0038,0.0066,0.0066,0.0008,0.0038,0.0008,0.0066,0.0038,0.0066,0.0038,0.0008,0.0066,0.0066,0.0038,0.0038,0.0066,0.0066,0.0066,0.0038,0.0087,0.0066,0.0038,0.0038,0.0066,-0.7377,0.0066,0.0066,0.0038,0.0087,0.0008,0.0066,0.0038,0.0066,0.0008,0.0066,0.0038,0.0038,0.0066,0.0066,0.0038
TCGA-05-4249-10A,0.0056,0.0126,0.0126,0.0126,0.0056,0.0126,0.0126,0.0056,0.0126,0.0056,0.0126,0.0126,0.0126,0.0056,0.0056,0.0126,0.0126,0.0126,0.0056,0.0126,0.0126,0.0056,0.0056,0.0126,0.0126,0.0126,0.0126,0.0056,0.0126,0.0126,0.0126,0.0056,0.0126,0.0126,0.0126,0.0056,0.0056,0.0126,0.0126,0.0056
TCGA-43-2576-11A,-0.0072,0.0039,0.0039,-0.4264,0.0076,0.0039,0.0039,-0.0072,0.0039,0.0076,0.0039,0.0039,0.0039,0.0076,0.0076,0.0039,0.0039,0.0039,0.0076,-0.0997,0.0039,0.0076,0.0076,0.0039,0.0039,0.0039,0.0039,0.0076,-0.0997,0.0039,0.0039,0.0076,0.0039,-0.4264,0.0039,-0.0072,0.0076,0.0039,0.0039,0.0076
TCGA-34-5236-01A,0.2693,0.6212,0.6212,0.64,0.2693,0.64,0.6212,0.2693,0.6212,0.2693,0.64,0.6282,0.6212,0.2693,0.2693,0.6282,0.6212,0.6212,0.2693,0.6464,0.6212,0.2693,0.2693,0.6212,0.6282,0.6212,0.6282,0.2693,0.6464,0.64,0.6212,0.2693,0.6212,0.64,0.6212,0.2693,0.2693,0.6212,0.6282,0.2693
TCGA-44-2668-01B,0.1039,0.0919,0.0508,0.1156,0.0403,0.1156,0.1039,0.1039,0.1039,0.085,0.1156,0.1156,0.0508,0.1039,0.0403,0.1156,0.0508,0.0919,0.0481,0.1156,0.1386,0.0403,0.1039,0.0919,0.1156,0.1039,0.1156,0.085,0.1156,0.1156,-3.9786,0.0481,0.0919,0.1156,0.1039,0.1039,0.085,0.0919,0.1156,0.0481
TCGA-60-2716-11A,0.0151,0.0065,0.0065,0.4997,0.0151,0.0109,0.0015,0.0151,0.023,0.0151,0.0109,0.0065,0.0065,0.0151,0.0151,0.0065,0.0065,0.0065,0.0103,0.0322,0.0015,0.0151,0.0151,0.0065,0.0065,0.023,0.0065,0.0151,0.0322,0.0109,0.0222,0.0103,0.0065,0.4997,0.0015,0.0151,0.0151,0.0065,0.0065,0.0103
TCGA-78-7149-10A,0.0055,0.0096,0.0096,-0.0008,0.0055,-0.0008,0.0096,0.0055,0.0096,0.0055,-0.0008,0.0096,0.0096,0.0055,0.0055,0.0096,0.0096,0.0096,0.0055,0.0117,0.0096,0.0055,0.0055,0.0096,0.0096,0.0096,0.0096,0.0055,0.0117,-0.0008,0.0096,0.0055,0.0096,-0.0008,0.0096,0.0055,0.0055,0.0096,0.0096,0.0055
TCGA-85-8070-10A,0.0126,0.0127,0.0127,0.0043,0.0126,0.0043,0.0127,0.0126,0.0127,0.0126,0.0043,0.0127,0.0127,0.0126,0.0126,0.0127,0.0127,0.0127,0.0126,0.0043,0.0127,0.0126,0.0126,0.0127,0.0127,0.0127,0.0127,0.0126,0.0043,0.0043,0.0127,0.0126,0.0127,0.0043,0.0127,0.0126,0.0126,0.0127,0.0127,0.0126
TCGA-33-4587-01A,0.7546,0.7135,0.7135,0.728,0.7327,0.728,0.7135,0.7546,0.7135,0.7327,0.7152,0.7135,0.7135,0.7546,0.7327,0.7135,0.7135,0.7135,0.3843,0.3281,0.7135,0.7327,0.7546,0.7135,0.7135,0.7135,0.7135,0.7327,0.3281,0.728,0.7135,0.7327,0.7135,0.728,0.7135,0.7546,0.7327,0.7135,0.7135,0.3843
TCGA-66-2757-01A,0.7098,0.6767,0.6767,0.6437,0.6687,0.7235,0.6872,0.7098,0.6872,0.6838,0.7235,0.6767,0.6767,0.7107,0.7107,0.6767,0.6767,0.6767,0.6838,0.4963,0.6872,0.6687,0.7107,0.6767,0.6767,0.6872,0.6767,0.6838,0.6879,0.7235,0.6872,0.6838,0.6767,0.6437,0.6872,0.7098,0.6838,0.6767,0.6767,0.6838
TCGA-75-7031-01A,-0.1718,-0.1703,-0.1703,-0.1703,-0.1718,-0.1703,-0.1739,-0.1718,-0.1739,-0.1718,-0.1703,-0.1703,-0.1703,-0.1718,-0.1718,-0.1703,-0.1703,-0.1703,-0.1718,-0.1703,-0.1739,-0.1718,-0.1718,-0.1703,-0.1703,-0.1739,-0.1703,-0.1718,-0.1703,-0.1703,-0.1739,-0.1718,-0.1703,-0.1703,-0.1739,-0.1718,-0.1718,-0.1703,-0.1703,-0.1718
TCGA-62-A46S-10A,0.011,0.011,0.011,-0.114,0.0077,0.011,0.011,0.011,0.011,0.0077,0.011,0.011,0.011,0.011,0.5585,0.011,0.011,0.011,0.0077,0.0172,0.011,0.0077,0.011,0.011,0.011,0.011,0.011,0.0077,0.0172,0.011,0.011,0.0077,0.011,-0.114,0.011,0.011,0.0077,0.011,0.011,0.0077
TCGA-86-8673-10A,0.0099,0.0099,0.0099,0.0169,0.0099,0.013,0.0099,0.0099,0.0099,0.0099,0.013,0.0099,0.0099,0.0099,0.0099,0.0099,0.0099,0.0099,0.0099,0.0169,0.0099,0.0099,0.0099,0.0099,0.0099,0.0099,0.0099,0.0099,0.0169,0.013,0.0099,0.0099,0.0099,0.0169,0.0099,0.0099,0.0099,0.0099,0.0099,0.0099
TCGA-37-A5EN-01A,0.7253,1.8469,3.0475,0.3676,0.7253,0.3676,0.7823,0.7253,0.8042,0.7253,0.3676,0.4184,2.4455,0.7253,0.7253,0.4184,3.0475,2.2103,0.7253,0.3979,0.7823,0.7253,0.7253,1.8623,0.4184,0.8042,0.4184,0.7253,0.3676,0.3676,0.7823,0.7253,2.3668,0.3676,0.7823,0.7253,0.7253,1.8623,0.4184,0.7253
TCGA-69-7980-10A,0.0046,-0.0004,-0.0004,-0.0038,0.0046,-0.0038,-0.0004,0.0046,0.001,0.0046,-0.0038,-0.0038,-0.0004,0.0046,0.0046,-0.0038,-0.0004,-0.0004,0.0046,-0.0038,-0.0004,0.0046,0.0046,-0.0004,-0.0038,0.001,-0.0038,0.0046,-0.0038,-0.0038,-0.0004,0.0046,-0.0004,-0.0038,-0.0004,0.0046,0.0046,-0.0004,-0.0038,0.0046
TCGA-98-8021-10A,0.0047,0.0047,0.0047,-0.0059,0.0047,0.0099,0.0047,0.0047,0.0047,0.0047,0.0099,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0043,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0043,0.0099,0.0047,0.0047,0.0047,-0.0059,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047
TCGA-33-4566-11A,0.0111,0.0138,0.0138,0.221,0.0111,0.0138,0.0138,0.0111,0.0138,0.0111,0.0138,0.0138,0.0138,0.0111,0.0111,0.0138,0.0138,0.0138,0.0111,0.0375,0.0138,0.0111,0.0111,0.0138,0.0138,0.0138,0.0138,0.0111,0.0375,0.0138,0.0138,0.0111,0.0138,0.221,0.0138,0.0111,0.0111,0.0138,0.0138,0.0111
TCGA-22-5477-11A,0.015,0.0126,0.014,0.7497,0.015,0.0048,0.014,0.015,0.014,0.015,0.0048,0.0126,0.014,0.015,0.015,0.0126,0.014,0.0126,0.015,0.0796,0.014,0.015,0.015,0.014,0.0126,0.014,0.0126,0.015,0.0358,0.0048,0.014,0.015,0.0126,0.7497,0.014,0.015,0.015,0.014,0.0126,0.015
TCGA-MP-A4T7-01A,-0.018,-0.0227,-0.0227,-0.0277,-0.018,-0.0277,-0.0148,-0.018,-0.0212,-0.018,-0.0277,-0.0227,-0.0227,-0.018,-0.018,-0.0227,-0.0227,-0.0227,-0.018,-0.0277,-0.0148,-0.018,-0.018,-0.0227,-0.0227,-0.0212,-0.0227,-0.018,-0.0277,-0.0277,-0.0148,-0.018,-0.0227,-0.0277,-0.0148,-0.018,-0.018,-0.0227,-0.0227,-0.018
TCGA-63-A5MJ-01A,0.7237,0.7637,0.7637,1.5094,0.8082,0.7206,0.7637,0.7237,0.6644,0.8082,0.7206,0.8413,0.7637,0.7237,0.7237,0.7126,0.7637,0.7637,0.7552,0.9782,0.7637,0.8082,0.7237,0.7637,0.7126,0.7637,0.7637,0.7552,0.9341,0.7206,0.7637,0.7552,0.7637,0.3806,0.7637,0.7237,0.8082,0.7637,0.7126,0.7552
TCGA-44-A47G-10A,0.0007,0.0068,0.0068,0.025,0.0007,0.025,0.0007,0.0007,0.0007,0.0007,0.025,-0.5235,0.0068,0.0007,0.0007,0.0095,0.0068,0.0068,0.0007,0.025,0.0007,0.0007,0.0007,0.0068,0.0095,0.0007,0.0068,0.0007,0.025,0.025,0.0025,0.0007,0.0068,0.025,0.0007,0.0007,0.0007,0.0068,0.0095,0.0007
TCGA-62-8397-01A,-0.1476,-0.1406,-0.1406,-0.4424,-0.1476,-0.1184,-0.1406,-0.1476,-0.1406,-0.1476,-0.1184,-0.1406,-0.1406,-0.1476,-0.1476,-0.1406,-0.1406,-0.1406,-0.1476,-0.1266,-0.1406,-0.1476,-0.1476,-0.1406,-0.1406,-0.1406,-0.1406,-0.1476,-0.1266,-0.1184,-0.1406,-0.1476,-0.1406,-0.4424,-0.1406,-0.1476,-0.1476,-0.1406,-0.1406,-0.1476
TCGA-05-4420-10A,0.0026,0.0106,0.0106,0.0218,0.0026,0.0077,0.0071,0.0026,0.0039,0.0026,0.0077,0.0106,0.0106,0.0026,0.0026,0.0106,0.0106,0.0106,0.0026,0.0218,0.0071,0.0026,0.0026,0.0106,-0.0021,0.0039,0.0106,0.0026,0.0218,0.0077,0.0106,0.0026,0.0106,0.0218,0.0071,0.0026,0.0026,0.0106,0.0106,0.0026
TCGA-78-7143-10A,0.0049,0.0412,0.0061,0.023,0.0072,0.023,0.0303,-4.731,0.0303,0.0072,0.023,-2.7286,0.0061,0.0072,0.0072,0.0299,0.0061,-0.0074,0.0202,0.0661,0.0303,0.0072,0.0072,0.0061,0.0336,0.0303,0.0342,0.0072,0.0661,0.023,0.0303,0.0072,0.0249,0.023,0.0303,0.0587,0.0072,0.0061,0.0299,0.0202
TCGA-91-8499-10A,-0.003,0.0065,0.0065,0.8024,-0.003,0.0121,0.0065,-0.003,0.0065,-0.003,0.0121,0.0065,0.0065,-0.003,-0.003,0.0065,0.0065,0.0065,-0.003,0.0425,0.0065,-0.003,-0.003,0.0065,0.0065,0.0065,0.0065,-0.003,0.0425,0.0121,0.0065,-0.003,0.0065,0.8024,0.0065,-0.003,-0.003,0.0065,0.0065,-0.003
TCGA-53-7813-01A,0.1598,-0.0625,-0.0625,-0.5227,-0.086,-0.0558,-0.0625,0.1598,-0.0625,-0.086,-0.0558,-0.0625,-0.0625,-0.086,-0.086,-0.0625,-0.0625,-0.0625,-0.086,-0.0487,-0.0625,-0.086,-0.086,-0.0625,-0.5726,-0.0625,-0.0625,-0.086,-0.0664,-0.0558,-0.0625,-0.086,-0.0625,-0.0664,-0.0625,0.1598,-0.086,-0.0625,-0.0625,-0.086
TCGA-92-8063-01A,0.405,0.4196,0.4196,0.4262,0.405,0.4262,0.4196,0.405,0.3653,0.405,0.4262,0.4196,0.4196,0.405,0.405,0.4196,0.4196,0.4196,0.405,0.4262,0.4196,0.405,0.405,0.4196,0.4196,0.3653,0.4196,0.405,0.4262,0.4262,0.4196,0.405,0.4196,0.4262,0.4196,0.405,0.405,0.4196,0.4196,0.405
TCGA-60-2726-11A,0.0197,0.0244,0.0244,0.0431,0.0197,0.0248,0.0238,0.0197,0.0238,0.0197,0.0248,0.0232,0.0244,0.0197,0.0197,0.0232,0.0244,0.0244,0.0122,0.0431,0.0238,0.0197,0.0197,0.0244,0.029,0.0238,0.0232,0.0197,0.0431,0.0248,0.0238,0.0197,0.0244,-0.4313,0.0238,0.0197,0.0197,0.0244,0.0232,0.0122
TCGA-67-3773-10A,0.0162,0.0162,0.0162,-0.011,0.0162,-0.011,0.0162,0.0162,0.0162,0.0162,-0.011,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,-0.011,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,-0.011,-0.011,0.0162,0.0162,0.0162,-0.011,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162
TCGA-71-6725-10A,0.0192,0.0188,0.0188,0.0179,0.0144,0.0179,0.0188,0.0192,0.0188,0.0144,0.0179,0.0188,0.0188,0.0192,0.0192,0.0175,0.0188,0.0188,0.0144,0.0179,0.0188,0.0144,0.0192,0.0188,0.0175,0.0188,0.0188,0.0144,0.0179,0.0179,0.0188,0.0144,0.0188,0.0179,0.0188,0.0192,0.0144,0.0188,0.0175,0.0144
TCGA-56-8201-10A,0.0077,0.0067,0.0067,0.0089,0.0077,0.0089,0.0067,0.0077,0.0129,0.0077,0.0089,0.0067,0.0067,0.0077,0.0077,0.0067,0.0067,0.0067,0.0077,0.0089,0.0067,0.0077,0.0077,0.0067,0.0089,0.0067,0.0067,0.0077,0.0089,0.0089,0.0067,0.0077,0.0067,0.0089,0.0067,0.0077,0.0077,0.0067,0.0067,0.0077
TCGA-33-A4WN-10A,0.0067,-0.0002,-0.0035,0.063,0.0067,-0.0002,-0.0035,0.0067,-0.0035,0.0067,-0.0002,-0.0002,-0.0035,0.0067,0.0067,-0.0002,-0.0035,-0.0002,0.0067,0.063,-0.0035,0.0067,0.0067,-0.0035,-0.0002,-0.0035,-0.0002,0.0067,0.063,-0.0002,-0.0035,0.0067,0.0979,0.063,-0.0035,0.0067,0.0067,-0.0035,-0.0002,0.0067
TCGA-77-8145-01A,-0.0016,0.2826,0.7648,0.6156,0.2475,-0.0187,0.6389,-0.0016,1.0384,0.2475,-0.0187,0.2575,0.7648,-0.0016,0.2518,0.2575,0.7648,0.2826,-0.0044,0.6986,0.6389,0.2475,-0.0016,0.7648,0.0121,0.6261,0.2575,-0.0044,0.6986,-0.0187,0.2928,-0.0044,0.7648,0.6156,0.6389,-0.0016,0.2475,0.7648,0.6902,-0.0044
TCGA-50-5049-10A,0.0237,0.0151,0.0151,-0.4688,0.0139,0.0151,0.0151,0.0237,0.0151,0.0139,0.0151,0.0151,0.0151,0.0139,0.0139,0.0151,0.0151,0.0151,0.0139,0.0125,0.0151,0.0139,0.0139,0.0151,0.0151,0.0151,0.0151,0.0139,0.0125,0.0151,0.0151,0.0139,0.0151,-0.4688,0.0151,0.0237,0.0139,0.0151,0.0151,0.0139
TCGA-22-5485-11A,0.0159,0.0184,0.0184,-0.6245,0.0159,0.0214,0.0184,0.0159,0.0184,0.0159,0.0214,0.0184,0.0184,0.0159,0.0159,0.0184,0.0184,0.0184,0.0159,0.0235,0.0184,0.0159,0.0159,0.0184,0.0184,0.0184,0.0184,0.0159,0.0235,0.0214,0.0184,0.0159,0.0184,0.0235,0.0184,0.0159,0.0159,0.0184,0.0184,0.0159
TCGA-85-A510-01A,0.4943,0.4176,0.503,0.4463,0.4384,0.4463,0.503,0.4943,0.4859,0.4384,0.4463,0.5235,0.503,0.4384,0.4384,0.3966,0.503,0.4176,0.4818,0.0939,0.503,0.4384,0.4943,0.503,0.3953,0.4859,0.5235,0.4384,0.4463,0.4463,0.503,0.4818,0.503,0.4463,0.503,0.4943,0.4384,0.503,0.3966,0.4818
TCGA-97-8174-10A,0.0066,0.0031,0.0031,0.0074,0.0066,0.0069,0.0031,0.0066,0.0133,0.0066,0.0069,-0.0025,0.0031,0.0066,0.0066,-0.0025,0.0031,0.0031,0.0066,0.0217,0.0031,0.0066,0.0066,0.0031,-0.0025,0.0133,-0.0025,0.0066,0.0217,0.0069,0.0031,0.0066,0.0031,0.0074,0.0031,0.0066,0.0066,0.0031,-0.0025,0.0066
TCGA-66-2765-01A,0.3494,0.3494,0.3494,0.3584,0.3494,0.3496,0.3494,0.3494,0.3494,0.3494,0.3496,0.3494,0.3494,0.3494,0.3494,0.3494,0.3494,0.3494,0.3494,0.3599,0.3494,0.3494,0.3494,0.3494,0.3494,0.3494,0.3494,0.3494,0.3599,0.3496,0.3494,0.3494,0.3494,0.3584,0.3494,0.3494,0.3494,0.3494,0.3494,0.3494
TCGA-77-8139-10A,0.0098,0.0093,0.0093,0.0303,0.0098,0.0303,0.0093,0.0098,0.0167,0.0098,-0.0134,-0.7581,0.0093,0.0098,0.0098,-0.003,0.0093,0.0093,0.0098,0.0847,0.0093,0.0098,0.0098,0.0093,-0.003,0.0167,0.0093,0.0098,0.0847,0.0303,0.0093,0.0098,0.0093,0.0303,0.0093,0.0098,0.0098,0.0093,-0.003,0.0098
TCGA-97-8171-01A,-0.0854,-0.0812,-0.0812,1.0279,-0.0854,-0.0676,-0.0812,-0.0854,-0.0812,-0.0854,-0.0676,-0.0812,-0.0812,-0.0854,-0.0854,-0.0812,-0.0812,-0.0812,-0.0854,-0.0125,-0.0812,-0.0854,-0.0854,-0.0812,-0.0812,-0.0812,-0.0812,-0.0854,-0.0125,-0.0676,-0.0812,-0.0854,-0.0812,-0.0125,-0.0812,-0.0854,-0.0854,-0.0812,-0.0812,-0.0854
TCGA-66-2737-11A,0.0097,0.0096,0.0096,0.0071,0.0097,0.0071,0.0025,0.0097,0.0137,0.0097,0.0071,0.0096,0.0096,0.0097,0.0097,0.0096,0.0096,0.0096,0.0109,0.0071,0.0025,0.0097,0.0097,0.0096,0.0096,0.0137,0.0096,0.0109,0.0071,0.0071,0.1768,0.0109,0.0096,0.0071,0.0025,0.0097,0.0097,0.0096,0.0096,0.0109
TCGA-77-8148-01A,0.2278,0.4858,2.1259,0.3465,0.2798,0.4031,0.9011,0.2278,0.9946,0.2798,0.4031,0.5575,2.5115,0.2278,0.2278,0.505,2.1259,0.4858,0.2832,0.4821,0.9805,0.2798,0.2278,2.4584,0.4031,0.9946,0.5575,0.2798,0.4821,0.4031,0.4152,0.2798,0.5177,0.3465,0.9011,0.2278,0.2798,2.4584,0.505,0.2832
TCGA-49-AAR9-11A,0.0063,0.0172,0.0172,0.3999,0.0063,0.0132,0.0044,0.0063,0.0088,0.0063,0.0132,-0.9199,0.0172,0.0063,0.0063,0.0132,0.0172,0.0172,0.0063,0.004,0.0172,0.0063,0.0063,0.0172,0.0132,0.0088,0.0003,0.0063,0.004,0.0132,0.0172,0.0063,0.0172,0.3999,0.0044,0.0063,0.0063,0.0172,0.0132,0.0063
TCGA-77-8130-10A,0.0081,0.0067,0.0067,0.0099,0.0081,0.0099,0.0104,0.0081,0.0104,0.0081,0.0099,0.0067,0.0067,0.0081,0.0081,0.0067,0.0067,0.0067,0.0029,0.0099,0.0104,0.0081,0.0081,0.0067,0.015,0.0104,0.0067,0.0081,0.0099,0.0099,0.0104,0.0081,0.0067,0.0099,0.0104,0.0081,0.0081,0.0067,1.1952,0.0029
