Case_IDs,RNU7-136P,RP11-795A2.2,CCDC39,LINC00969,ARHGEF26,CPN2,CLDN11,IQCJ-SCHIP1,SERPINI1,AADACL2-AS1,ATP13A4,TP63,SOX2-OT,PTX3,C3orf33,UTS2B,RP11-496B10.3,DNAJB11,AGTR1,FRG2FP,PLD1,DHX36,RSRC1,MCCC1,VEZF1P1,RP11-368I23.2,TPRG1,MED12L,AC024560.3,RP11-513G11.3,NLGN1,TM4SF18,PARL,MUC20,TERC,B3GALNT1,RP11-362A9.3,MCF2L2,RP11-197K6.1,RP11-501O2.5
TCGA-05-4405-01A,-0.0757,-0.0802,-0.0802,-0.0779,-0.0757,-0.0779,-0.0794,-0.0757,-0.0794,-0.0757,-0.0779,-0.0802,-0.0802,-0.0757,-0.0757,-0.0701,-0.0802,-0.0802,-0.0757,0.0691,-0.0794,-0.0757,-0.0757,-0.0802,-0.0701,-0.0794,-0.0802,-0.0757,-0.0779,-0.0779,-0.0794,-0.0757,-0.0802,-0.0779,-0.0794,-0.0757,-0.0757,-0.0802,-0.0701,-0.0757
TCGA-21-1077-01A,1.1077,1.5944,1.5944,0.6904,1.1077,0.6966,1.4098,1.1077,1.1366,1.1077,0.6966,0.7257,1.5944,1.1077,1.1077,0.6892,1.5944,1.5944,1.127,0.6904,1.4648,1.1077,1.1077,1.5944,0.6892,1.1366,0.7257,1.1077,0.6904,0.6966,1.132,1.127,1.5944,0.6904,1.1366,1.1077,1.1077,1.5944,0.6892,1.127
TCGA-55-8619-10A,-0.0007,0.004,0.004,0.017,-0.0007,0.017,0.004,-0.0007,0.0004,-0.0007,0.017,0.004,0.004,-0.0007,-0.0007,0.004,0.004,0.004,-0.0017,-0.0069,0.004,-0.0007,-0.0007,0.004,0.004,0.004,0.004,-0.0007,-0.0069,0.017,0.004,-0.0007,0.004,0.017,0.004,-0.0007,-0.0007,0.004,0.004,-0.0017
TCGA-44-6776-10A,-0.0004,0.0028,0.0028,-0.6059,0.0136,0.0081,0.0028,-0.0004,0.0028,0.0136,0.0081,0.0028,0.0028,0.0136,0.0136,0.0028,0.0028,0.0028,0.0136,-0.0059,0.0028,0.0136,0.0136,0.0028,0.0028,0.0028,0.0028,0.0136,-0.0059,0.0081,0.0028,0.0136,0.0028,-0.0059,0.0028,-0.0004,0.0136,0.0028,0.0028,0.0136
TCGA-38-4630-11A,0.0301,0.0247,0.0279,0.6176,0.0301,0.0296,0.0194,0.0301,0.0405,0.0301,0.0296,0.0247,0.0279,0.0301,0.0301,0.0247,0.0279,0.0247,0.0301,0.0763,0.0647,0.0301,0.0301,0.0279,0.0563,0.0194,0.0247,0.0301,0.0763,0.0296,0.0647,0.0301,0.0279,0.6176,0.0194,0.0301,0.0301,0.0279,0.0247,0.0301
TCGA-18-5595-01A,1.2707,1.1508,1.2909,1.4141,1.277,1.4141,1.2746,1.2707,1.2746,0.8598,1.4141,1.4817,1.2909,1.2707,1.6135,1.3663,1.2909,1.1508,0.8598,0.9015,1.4174,1.277,1.2707,1.2909,1.326,1.2746,1.4119,0.8598,1.4531,1.4141,1.2845,0.8598,1.2909,1.4531,1.2746,1.2707,0.8598,1.2909,1.3663,0.8598
TCGA-38-4629-01A,-0.0958,-0.0944,-0.0944,-0.6645,-0.0958,-0.0864,-0.0944,-0.0958,-0.0944,-0.0958,-0.0864,-0.0944,-0.0944,-0.0958,-0.0958,-0.0944,-0.0944,-0.0944,-0.0958,-0.048,-0.0944,-0.0958,-0.0958,-0.0944,-0.0944,-0.0944,-0.0944,-0.0958,-0.048,-0.0864,-0.0944,-0.0958,-0.0944,-0.6645,-0.0944,-0.0958,-0.0958,-0.0944,-0.0944,-0.0958
TCGA-60-2696-11A,0.0154,0.009,0.009,0.0007,0.0154,0.0007,0.009,0.0154,0.009,0.0154,0.0007,0.009,0.009,0.0154,0.0154,0.009,0.009,0.009,0.0154,0.0007,0.009,0.0154,0.0154,0.009,0.009,0.009,0.009,0.0154,0.0007,0.0007,0.009,0.0154,0.009,0.0007,0.009,0.0154,0.0154,0.009,0.009,0.0154
TCGA-80-5607-01A,0.0242,0.022,0.022,-0.3973,0.0242,0.022,0.0245,0.0242,0.0245,0.0242,0.022,0.022,0.022,0.0242,0.0242,0.022,0.022,0.022,0.0242,0.0067,0.0245,0.0242,0.0242,0.022,0.022,0.0245,0.022,0.0242,0.0067,0.022,0.0245,0.0242,0.022,-0.3973,0.0245,0.0242,0.0242,0.022,0.022,0.0242
TCGA-90-7766-10A,-0.0102,-0.0103,-0.0103,-0.0103,-0.0102,-0.0103,-0.0103,-0.0102,-0.0103,-0.0102,-0.0103,-0.0103,-0.0103,-0.0102,-0.0102,-0.0103,-0.0103,-0.0103,-0.0024,-0.0103,-0.0103,-0.0102,-0.0102,-0.0103,-0.0103,-0.0103,-0.0103,-0.0024,-0.0103,-0.0103,-0.0103,-0.0024,-0.0103,-0.0103,-0.0103,-0.0102,-0.0102,-0.0103,-0.0103,-0.0024
TCGA-38-4625-10A,0.0337,-0.1039,-0.1039,-0.1039,0.0337,-0.1039,0.047,0.0337,0.0856,-0.0401,-0.1039,-0.1039,-0.1039,0.0337,0.0337,-0.1039,-0.1039,-0.1039,-0.0401,-0.1039,-0.1039,0.0337,0.0337,-0.1039,-0.1039,0.0856,-0.1039,-0.0401,-0.1039,-0.1039,-0.1039,-0.0401,-0.1039,-0.1039,0.047,0.0337,-0.0401,-0.1039,-0.1039,-0.0401
TCGA-94-7943-01A,0.9392,0.9194,0.9194,0.6207,0.9392,0.6207,0.9447,0.9392,0.9447,0.9392,0.9404,0.179,0.9194,0.9392,0.9392,0.9399,0.9194,0.9194,0.9631,0.6207,0.9447,0.9392,0.9392,0.9194,0.9399,0.9447,0.9194,0.9392,0.6207,0.6207,0.993,0.9392,0.9194,0.6207,0.9447,0.9392,0.9392,0.9194,0.9399,0.9631
